MID_WU_C_1_IN_#001	やっぴー！　朝ですぞ、神竜氏ーっ！！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おお、おはようございます！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	本日の起こし係の任、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	無事に果たせて嬉しいですぞ！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	むむ…起きませぬな。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	これはわたくしめの得意技、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ニワトリの鳴き真似の出番と見ましたぞ！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	コーケコッコー！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ん、なんです？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	この部屋にニワトリはおりませぬぞ。鳴き声は…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	気のせいではありませぬか？\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神竜氏ーっ！　今朝はユナカが起こしに参りましたぞーっ！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	すがすがしい朝ですな！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	ではわたくしめはこれにて\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	お役御免となりますので、失礼！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	む…もしや、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	わたくしめでは駄目なのでしょうか。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ならば、これでは如何でしょう！　オッホン！\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	「神竜様、お目覚めの時間でございます」\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おお…！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	ヴァンドレ氏の物真似作戦は成功したようですな。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	しかし…わたくしめがお呼びした際にも\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	起きてほしいですぞー！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	神竜氏のご寝所に潜入でございますぞ…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	ワクワクしますなぁ…！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	はっ、起きてしまわれましたかぁ～、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	いやその、何か珍しいものなどないかな～と思いまして。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	失礼いたしましたーっ！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	こそこそ…流石は聖地の祭壇。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	探検のし甲斐がありますなあ。おや、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	これは珍しい鍵盤楽器。どれどれ…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	良い楽器をお持ちですな。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	意外にもわたくしめ、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	演奏には心得がありますゆえ、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	次は一曲披露させてほしいですぞ。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	はぁ…すぐ嘘をついてしまうのを、\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	どうにかしたいですな…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	！　声が大きかったですか！？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	定刻前に神竜氏を起こしてしまうとは不覚。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	宜しければ首の後ろをトンとして、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	寝落ちの手伝いを…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	仲間に犬派だという嘘をついてしまいましたが、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	わたくしめ本当は猫派…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	人に話を合わせて自分を偽る癖は後々自分を苦しめますな…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神竜氏、わたくしめは決めました。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	今の自分のことは偽らぬようにします。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	手始めに、しょうもない小さい嘘をやめるところから…！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	今日もすやすや眠っておられますな…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	ちょっとやそっとでは起きなそうですぞ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おやおや！？　熟睡と見せかけ、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	わたくしめの気配にしっかり反応されるとは流石！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	万一、曲者が来ても安心ですな！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	神竜氏…いえ、神竜様…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	こんなに安心しきった姿、時々心配になるわ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	もし今、命を狙われたらと。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	昔の私のような…暗殺者に…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	あ、おはようございます神竜氏っ！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	…知らぬ女人の声が聞こえた？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	この部屋は他に誰もおりませぬぞ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	気のせいではないですか？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	しーんりゅうしっ。今日もお話を…\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	と思いましたがお休み中ですな…！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	あ、いえいえ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	お気遣いなさらずそのまま寝ていてくだされ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	…え、わたくしめと、話がしたいからと…？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	神竜氏…嬉しいですぞ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	買ったばかりのこの短剣の話をしたかったのですぞ…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	ああ、この切っ先、刃の光沢、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	持ち手の装飾は年代物で素晴らしいですな…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	さらに鞘のどっしりとした重厚感は、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	持ち主の所有欲を満たしてくれる見事な作りで…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	あれ、神竜氏、いつから起きてらしたのです？\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	やっぴ。不肖ながらわたくしめ、\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	パートナーとしてお迎えに上がりましたぞ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	ふはっ、すぐ起きてくださると嬉しいものですな！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	思い上がりかもしれませぬが、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	わたくしめが来たから目覚めてくれたと感じるのです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	ふふ…戦場ではあんなに強いのに、あどけない寝顔。\x0E\x04\x00\x00
