MID_WU_C_1_IN_#001	神竜様をお起こしするなんて、不思議な仕事だな…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	へえ、もしかして既に目覚められていましたか？\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	今回は俺の出る幕はなかったようですね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	起きない…これは手強そうだね。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	仕方がない、踊って待っていようかな。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ステップ、ジャンプ、ここでターン…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	うん、いいね…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	ああ、おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	先ほどの踊りが気になる…と？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	ではまたいつか、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	同じ月が昇る夜…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#005	あなたのために舞いましょう。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	朝の占いをしてきました。\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	結果は二通り…どちらをお教えいたしましょう。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	すぐお目覚めの神竜様には『ル・シュヴァル』、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	軍馬のカードです。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	今日は忙しい日になりそうですよ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	黄色い物を身に着けてください。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	すぐには起きない神竜様には『ル・ペガス』、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	天馬のカードです。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	青いものを持っていると、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	幸運に恵まれるかもしれません。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	例えば…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	そう…例えば、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	恋しく思う人に偶然出会えたり。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	ああ、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	俺じゃないっていうのはわかってますよ。それでは。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	やっぱり。この場所は踊る場所として理想的だな…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	あ、起こしてしまいましたか。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	練習場所を探していて、つい。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	ここは祭壇なので…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	舞の奉納もしやすい造りになっているのでしょうね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ここで神竜様に踊りを捧げた方もいるんだろうね…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	俺の師匠の踊りも、神竜様に見てほしかったな。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	あれは本当に、美しかった…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	…もしよかったら、今夜ここで…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	俺の踊りを見てくれませんか？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	亡き師匠が一番得意だった舞を…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	あなたにも、見てほしいんです。\x0E\x04\x00\x00
