MID_WU_C_1_IN_#001	この世界に来て驚いたことの一つが、
MID_WU_C_1_IN_#002	神竜様起こし当番の存在です。
MID_WU_C_1_SOON_#001	いつもこうしてすぐに起きてくだされば、
MID_WU_C_1_SOON_#002	当番の仕事が楽なのですが…
MID_WU_C_1_SOON_#003	まあいいでしょう。
MID_WU_C_1_SOON_#004	おはようございます。
MID_WU_C_1_WAKEUP_#001	起きませんね。
MID_WU_C_1_WAKEUP_#002	あなたはいつもこうなのですか？
MID_WU_C_1_WAKEUP_#003	一軍の将が寝坊をしがちとは、
MID_WU_C_1_WAKEUP_#004	仲間たる人の子たちの苦労が思いやられます。
MID_WU_C_1_HELLO_#001	ああ、起きてくださったのですね。
MID_WU_C_1_HELLO_#002	良かったです。
MID_WU_C_1_HELLO_#003	先に言っておきますが、
MID_WU_C_1_HELLO_#004	このまま二度寝は絶対に許しませんよ。
MID_WU_C_2_IN_#001	私は眠らせるほうが得意なのですが…
MID_WU_C_2_SOON_#001	速やかに目覚めてくださって助かります。
MID_WU_C_2_SOON_#002	役目は果たしましたので、私はこれで。
MID_WU_C_2_WAKEUP_#001	よく眠っていますね、
MID_WU_C_2_WAKEUP_#002	このまま起きぬのではないかと思うほど。
MID_WU_C_2_WAKEUP_#003	私の目覚めを待ったラファールも、
MID_WU_C_2_WAKEUP_#004	このような気持ちだったのでしょうか。
MID_WU_C_2_HELLO_#001	おはようございます。
MID_WU_C_2_HELLO_#002	この程度の惰眠であれば許容かと。
MID_WU_C_2_HELLO_#003	急いで準備をすれば、
MID_WU_C_2_HELLO_#004	いつもの時間に間に合うのでは？
MID_WU_B_1_IN_#001	さっさと起きてください、神竜様。
MID_WU_B_1_IN_#002	…生きてます？
MID_WU_B_1_SOON_#001	誰かが来るとすぐに目覚めるのですね。
MID_WU_B_1_SOON_#002	まさか、一人で起きるのが寂しいのですか？
MID_WU_B_1_WAKEUP_#001	以前、私を庇ってくださった傷は消えたようですが…
MID_WU_B_1_WAKEUP_#002	また新しい傷ができていますね。
MID_WU_B_1_WAKEUP_#003	戦に身を置く以上は仕方がありませんが、
MID_WU_B_1_WAKEUP_#004	私は…
MID_WU_B_1_HELLO_#001	目が覚めましたか。
MID_WU_B_1_HELLO_#002	今日も怪我をせず、無事に戻ってきてください。
MID_WU_B_1_HELLO_#003	自分を大事にするという約束…
MID_WU_B_1_HELLO_#004	忘れてはいけませんよ。
MID_WU_B_2_IN_#001	全く…いつまで寝ているのですか。
MID_WU_B_2_SOON_#001	飛び起きた様子を見るに、
MID_WU_B_2_SOON_#002	寝坊した自覚があるのなら良かったです。
MID_WU_B_2_SOON_#003	私はいいですが、皆が心配しますよ。
MID_WU_B_2_WAKEUP_#001	皆からは優しく起こされているのかもしれませんが、
MID_WU_B_2_WAKEUP_#002	私は甘やかしませんよ。
MID_WU_B_2_WAKEUP_#003	早く起きなさい。
MID_WU_B_2_WAKEUP_#004	戦も敵も、待ってはくれないのです。
MID_WU_B_2_HELLO_#001	やっと起きましたね。
MID_WU_B_2_HELLO_#002	いえ、別に怒ってはいません。
MID_WU_B_2_HELLO_#003	そう見えるのは、
MID_WU_B_2_HELLO_#004	あなたが寝坊をした負い目があるからではありませんか？
MID_WU_A_1_IN_#001	元いた世界の神竜様も、
MID_WU_A_1_IN_#002	誰かに起こされることがあったのでしょうか…
MID_WU_A_1_SOON_#001	聞こえていましたか。
MID_WU_A_1_SOON_#002	あちらの神竜様は、
MID_WU_A_1_SOON_#003	何をするにも人の手を借りない方でした…
MID_WU_A_1_SOON_#004	私は、この時間も悪くないと思いますけれどね。
MID_WU_A_1_WAKEUP_#001	やはり、たまに思い出してしまいますが…
MID_WU_A_1_WAKEUP_#002	私が守りたいのは、
MID_WU_A_1_WAKEUP_#003	目の前にいるあなたです。
MID_WU_A_1_WAKEUP_#004	今日も、どうか無事でいてください…
MID_WU_A_1_HELLO_#001	今の、聞いていたのですか？
MID_WU_A_1_HELLO_#002	…はい、無事を祈るのは当然です。
MID_WU_A_1_HELLO_#003	私たちは互いに、
MID_WU_A_1_HELLO_#004	喪いたくないと思い合っているのですから。
MID_WU_A_2_IN_#001	いい加減にしないと、
MID_WU_A_2_IN_#002	寝坊の神として崇められる羽目になりますよ。
MID_WU_A_2_SOON_#001	ふふ。
MID_WU_A_2_SOON_#002	流石のあなたでも、
MID_WU_A_2_SOON_#003	不名誉な名称の神となるのは避けたいようですね。
MID_WU_A_2_SOON_#004	おはようございます、神竜様。
MID_WU_A_2_WAKEUP_#001	ここまで言っても起きないとは、
MID_WU_A_2_WAKEUP_#002	もはや畏敬の念すら抱きます。
MID_WU_A_2_WAKEUP_#003	私も、寝坊の神の仲間と呼ばれる覚悟を
MID_WU_A_2_WAKEUP_#004	決めるべきかもしれません。
MID_WU_A_2_HELLO_#001	起きましたか。
MID_WU_A_2_HELLO_#002	…え？
MID_WU_A_2_HELLO_#003	妙な名の神として崇め奉られる夢を見た？
MID_WU_A_2_HELLO_#004	寝言を言っていないで、
MID_WU_A_2_HELLO_#005	早く顔でも洗ってきてください。
MID_WU_S_1_IN_#001	神竜様。
MID_WU_S_1_IN_#002	パートナーだからといって、
MID_WU_S_1_IN_#003	起こす手は緩めませんよ。
MID_WU_S_1_SOON_#001	おはようございます。
MID_WU_S_1_SOON_#002	すぐに起きるとは良い心がけ。
MID_WU_S_1_SOON_#003	おかげで時間ができました…
MID_WU_S_1_SOON_#004	少しだけ、二人きりの時間を楽しみましょう？
MID_WU_S_1_SOON_#005	神竜様。
MID_WU_S_1_WAKEUP_#001	相変わらず手強いですね。
MID_WU_S_1_WAKEUP_#002	私だって本当は、
MID_WU_S_1_WAKEUP_#003	あなたを無理に目覚めさせたくはない。
MID_WU_S_1_WAKEUP_#004	その寝顔の隣で、微睡んでいたいです。
MID_WU_S_1_WAKEUP_#005	でも、それは平和な世でのみ叶うこと。
MID_WU_S_1_WAKEUP_#006	今は…
MID_WU_S_1_WAKEUP_#007	早く起きてください、神竜様。
MID_WU_S_1_WAKEUP_#008	私の好きなあなたは、
MID_WU_S_1_WAKEUP_#009	こんなお寝坊さんではない筈です。
MID_WU_S_1_HELLO_#001	やっと起きましたね。
MID_WU_S_1_HELLO_#002	さあ、今日も使命を果たしましょう。
MID_WU_S_1_HELLO_#003	そして…
MID_WU_S_1_HELLO_#004	無事に帰れたら、
MID_WU_S_1_HELLO_#005	今夜は…私が
MID_WU_S_1_HELLO_#006	優しく寝かしつけてあげますよ。
MID_WU_S_2_IN_#001	早く目が覚めたので、来てしまいました。
MID_WU_S_2_IN_#002	神竜様は…
MID_WU_S_2_IN_#003	まだお休みですね。
MID_WU_S_2_SOON_#001	ごめんなさい。
MID_WU_S_2_SOON_#002	起こすつもりはなかったんです。
MID_WU_S_2_SOON_#003	でも…
MID_WU_S_2_SOON_#004	嬉しい。
MID_WU_S_2_SOON_#005	まるで私の気持ちが通じたようで。
MID_WU_S_2_SOON_#006	今日はもう少し、
MID_WU_S_2_SOON_#007	傍にいてもいいですか？
MID_WU_S_2_WAKEUP_#001	眠る姿を見ていると、
MID_WU_S_2_WAKEUP_#002	どうしても…
MID_WU_S_2_WAKEUP_#003	元の世界の神竜様を重ねてしまいます。
MID_WU_S_2_WAKEUP_#004	最後に見たのも、
MID_WU_S_2_WAKEUP_#005	丁度こんな風に、安らかな顔でした…
MID_WU_S_2_WAKEUP_#006	…駄目ですね。
MID_WU_S_2_WAKEUP_#007	あなたは生きているのに、
MID_WU_S_2_WAKEUP_#008	不安になってしまう。
MID_WU_S_2_WAKEUP_#009	ねえ…どうか死なないで。
MID_WU_S_2_WAKEUP_#010	このまま二度と、あなたと離れたくない…
MID_WU_S_2_HELLO_#001	良かった。
MID_WU_S_2_HELLO_#002	今日も会えて嬉しいです。
MID_WU_S_2_HELLO_#003	毎日会っているのに…
MID_WU_S_2_HELLO_#004	少し離れるだけで寂しいと思うほど…
MID_WU_S_2_HELLO_#005	私はあなたの事が愛おしいのですよ。
