MID_WU_C_1_IN_#001	自分みたいなもんが入ってええんやろか…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	ああ、良かったわあ、すぐ起きてくれはって。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	おはようございます、神竜様。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	こないな綺麗な場所、緊張してしまうわ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	うっかり薬品とか落としたらあかんで…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	シミになったら責任取られへん…ああっ！！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	…っと…神竜様の寝台に落とすとこやった…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	おはようございます。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	お騒がせしてしもてほんま申し訳ない…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	神竜様が起きひんって聞いたんやけど…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	体調悪くて寝たはるん…？\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	その様子やと大丈夫そうやね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	心配になって来たんやけど、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	起こしてしもてごめんなさい。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	うーん、見た感じ怪我はないけど…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	病気は大概、外からは見えへんからなあ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	神竜様はみんなの大事な人やさかい、心配やわ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	目が覚めたんやね。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	どこもしんどい所とかないですか？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	そうか、それなら良かったわ。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	なんかあったら、すぐに頼ってください。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	自分が起こしに来るからには、\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	神竜様の朝の体調をしっかり確認せな。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	今朝の寝覚めはだいぶ良さそうですね。\x0E\x04\x00\x00
