MID_WU_C_1_IN_#001	なかなか起きないと聞いて、僕が起こしに来たよ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	おや、寝起きが悪いという噂と違うようだけれど、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	早く君と話せて嬉しいよ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	なるほど、噂通り手強いようだ。どうしたものか…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	可哀想だが、ここは正攻法の大声でいこうか。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	スー…起きてくれ、神竜様！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	手荒な真似をしてすまないが、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	きちんと起きられただろう？\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	僕も、お腹から声を出す良い鍛錬になったよ。それでは。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	起こしてきてほしいと頼まれてね。失礼するよ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	随分寝起きがいいのだね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	今度はもっと早起きをして、僕と鍛錬でもするかい？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	どうせなら気分の良い目覚めを提供したいが…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	そうだ、甘い菓子を持ってきて\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	口いっぱいに詰めて差し上げるのはどうだろうか。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはよう。おや、先ほどの独り言を聞いていたのかい？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	安心してくれ、思っただけで実行には移さないとも。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	…多分ね。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	幸せな目覚めを運びに来たよ、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おはよう、今日も無事に朝を迎えられたことに感謝しよう。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	僕たちはいつも、死と隣り合わせなのだからね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ふふ、幸せな目覚めとはいっても…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	今日は君の要望通り、特別なことを何もしていないんだ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	迷惑をかけては友達失格だからね。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	やあ。目覚めの気分はどうだい？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	もし万が一、また肉たっぷりの朝食や、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	夜の笛の演奏が必要なら、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	いつでも言ってくれ。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	僕はこの役目が好きだよ。\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	ここに来ると、懐かしい気持ちになる…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	ん？　まだ何もしていないのに起きたのかい？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	ふふ…僕は労せずして結果を手に入れた幸せ者というわけか。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	おはよう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	こうしていると幼い頃…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	母と、この祭壇を訪れたことを思い出すんだ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	君と友となり、\x0E\x04\x00\x00
