MID_TUT_CATEGORY_TITLE_Battle	戦闘
MID_TUT_CATEGORY_TITLE_God	紋章士
MID_TUT_CATEGORY_TITLE_Hub	拠点
MID_TUT_CATEGORY_TITLE_Kizuna	散策・ワールドマップ
MID_TUT_CATEGORY_TITLE_Challenge	試練
MID_TUT_CATEGORY_TITLE_Local	ピックアップ
MID_TUT_BMAP_MOVE_TITLE	移動
MID_TUT_BMAP_MOVE_0	味方ユニットにカーソルを合わせて\x0E\x08\x02\x04\x02Aを押すと\n\x0E\x08\x02\x0E\x0CStickLでそのユニットを移動させることができます
MID_TUT_BMAP_MOVE_1	表示される「青いマス」が移動できる範囲です
MID_TUT_BMAP_MOVE_2	もう一度、\x0E\x08\x02\x04\x02Aを押せば移動が完了します
MID_TUT_BMAP_COMMAND_TITLE	ユニットコマンド
MID_TUT_BMAP_COMMAND_0	移動が完了すると、「ユニットコマンド」が表示され\nその場所で可能な行動を選ぶことができます
MID_TUT_BMAP_COMMAND_1	何もしない時はその場で「待機」を選びます
MID_TUT_BMAP_CHANGE_TITLE	フェイズチェンジ
MID_TUT_BMAP_CHANGE_0	全ての味方の行動が終わると\n敵軍フェイズにチェンジし\n敵ユニットが行動を始めます
MID_TUT_BMAP_CHANGE_1	全ての軍のフェイズが終わるまでを\n「ターン」と呼び「ターン」が終わると\n再び自軍フェイズになります
MID_TUT_BMAP_ATTACK_TITLE	攻撃
MID_TUT_BMAP_ATTACK_0	味方を敵の近くまで移動させて\x0E\x08\x02\x04\x02Aを押し\nユニットコマンドから「攻撃」を選びます
MID_TUT_BMAP_ATTACK_1	敵にカーソルを合わせ「\x0E\x08\x02\x04\x02A攻撃」と出たら\n\x0E\x08\x02\x04\x02Aで、攻撃が開始されます
MID_TUT_BMAP_ENGAGE_TITLE	エンゲージ
MID_TUT_BMAP_ENGAGE_0	エンゲージカウントが最大まで溜まると\n「ユニットコマンド」から「エンゲージ」を\n選択できるようになります
MID_TUT_BMAP_ENGAGE_1	「エンゲージ」を選ぶと、紋章士と\n一心同体の状態となり、「エンゲージ武器」という\n特別な武器が使えるようになります
MID_TUT_BMAP_ENGAGE_2	さらに「エンゲージスキル」が解放され\n味方の能力が強化されます
MID_TUT_BMAP_ENGAGE_3	「エンゲージ」状態は3ターン続きます
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	エンゲージ技
MID_TUT_BMAP_ENGAGE_ATTACK_0	エンゲージ状態になると「エンゲージ技」という\n特別な技を使うことができるようになります
MID_TUT_BMAP_ENGAGE_ATTACK_1	エンゲージ中に一度しか\n使うことができませんが、代わりに\n非常に強い能力を持っています
MID_TUT_BMAP_ENGAGE_ATTACK_2	例えばエンゲージ技「スターラッシュ」は\n敵に大ダメージを与えられます\n「スターラッシュ」と「武器」を選ぶと使用できます
MID_TUT_BMAP_TERRAIN_TITLE	地形効果
MID_TUT_BMAP_TERRAIN_0	地形は様々な「地形効果」を持っています\n例えば「茂み」は敵の攻撃が当たりにくくなります
MID_TUT_BMAP_TERRAIN_1	ただし、「茂み」に進入するには通常よりも多く\n移動力を必要とするので注意しましょう
MID_TUT_BMAP_TERRAIN_2	「地形効果」は画面左上の\n「地形情報」で確認できます\n上手く利用して戦いましょう
MID_TUT_BMAP_RECOVERY_TITLE	回復
MID_TUT_BMAP_RECOVERY_0	HPが0になると戦闘不能になってしまいます\nそうなる前に傷薬などを使って\n「回復」を行いましょう
MID_TUT_BMAP_RECOVERY_1	ユニットコマンドの「持ち物」から\n「傷薬」「使う」を選ぶと\n使用することができます
MID_TUT_BMAP_SYNCHRO_TITLE	シンクロ
MID_TUT_BMAP_SYNCHRO_0	ユニットが紋章士と共に戦場に立ち\n共闘している状態を「シンクロ」と呼びます
MID_TUT_BMAP_SYNCHRO_1	「シンクロ」中は能力が上昇し\n特殊なスキルが解放されます
MID_TUT_BMAP_KIZUNA_LV_TITLE	絆レベル
MID_TUT_BMAP_KIZUNA_LV_0	味方が紋章士と一緒に戦っていると\n二人の間で「絆経験値」が溜まり\n「絆レベル」が上がります
MID_TUT_BMAP_KIZUNA_LV_1	「絆レベル」が上がると\n新たなスキルを習得したり\n各種能力が上昇したりします
MID_TUT_BMAP_RANGE_TITLE	射程
MID_TUT_BMAP_RANGE_0	武器にはそれぞれ「射程」があります\n例えば弓は「射程2」で\n2マス先の敵を攻撃できます
MID_TUT_BMAP_RANGE_1	射程1の武器を持つ敵からは\n反撃を受けませんが\n隣接する敵へは攻撃も反撃もできません
MID_TUT_BMAP_BREAK_TITLE	ブレイク
MID_TUT_BMAP_BREAK_0	「相性が有利な武器」を装備して\n自分から敵に攻撃し、それが命中すれば\n「ブレイク」させることができます
MID_TUT_BMAP_BREAK_1	「ブレイク」状態になった敵は\nその次の戦闘まで反撃できないので\n戦いを有利に進めることができます
MID_TUT_BMAP_BREAK_2	武器の相性は以下の通りです\n・剣は斧に、斧は槍に、槍は剣に強い\n・体術は、弓と魔道書と短剣に強い
MID_TUT_BMAP_WAND_TITLE	杖
MID_TUT_BMAP_WAND_0	モンクなどが使える「杖」は\n仲間をサポートする様々な\n効果を持ったアイテムです
MID_TUT_BMAP_WAND_1	例えば「ライブ」は味方の\nHPを回復することができます
