MID_WU_C_1_IN_#001	失礼いたしますわ！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神竜様は寝起きがよろしいんですのね、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	素晴らしいことですわ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	今日はとても良い鍛錬日和ですわ。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	眠っているのは勿体ないですの。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	ほら、全身の筋肉を目覚めさせて…！\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございますわ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	まずは瞼の筋肉に挨拶、ですわね。\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	今朝の鍛錬は、神竜様を起こしてからですわね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	まあ、すぐに起きてくださって助かりますわ。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	あたくしは走り込みがありますので、これにて。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	筋肉が早く動きたいと叫んでおりますわ。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	少々、失礼して…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	ふんっ、ほっ、はっ、いい感じ、ですわ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	…ふう。あら、神竜様、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	いつの間に起きていらっしゃいましたの？\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	良い朝ですわね。\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	今朝も健康的な目覚めをお届けに参りましたわ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	一瞬でお目覚めになられましたわね…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	もしや神竜様、眠りが浅いほうですの？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	さて…どうやって起こしましょうか。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	お体に触れるのは不敬ですし。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	そうだ、この寝台を…ふんぬっ！！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	ああ、ダメでしたわ…！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	神竜様、この寝台とても重いんですのね。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	もっと鍛えて出直して参りますわ。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ソラネル１００周、やり遂げてまいりましたわ！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	こんなに早く起きてくださるなんて。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	神竜様もソラネルを走りたくて\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	たまらないとお見受けしましたわ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	神竜様と走って以来、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	走り込みが病みつきになってしまいましたの。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	今のあたくしに雑念など皆無ですわよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	寝起きでモヤモヤするようでしたら、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	今すぐ運動にお付き合いいたしますわよ？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	…そーっと、そーっと。\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今日は静かに起こしますのよ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	ああっ、もうお目覚めに！？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	あたくしの力強い足音が、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	今回ばかりは不覚に思いますわ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	あたくしの故郷は広大な花園の地。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	その花で作った香水の香りで、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	優雅な目覚めを演出いたしますわ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	あたくしの故郷の香りは如何です？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	いつか本物の花も、神竜様にお贈りしたいですわね。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様、本日は良い朝食をお持ちしましたの！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おお、食べ物が絡むとすぐ起きますわね…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	ご覧あそばせ、エーティエ特製・朝用筋肉増強剤ですの！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	この前ご紹介した筋肉増強剤、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	色んな味がありますのよ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	桃味、紅茶味、焼き菓子味、肉味、魚味、それから…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	一番のおすすめは、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	朝にぴったりハバネロ味ですの。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	お好きなものを召し上がって、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	今日も一日励みましょう。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	あなたのパートナーが起こしに参りましたわよ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	もう目が覚めてしまいましたの、残念。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	今日は優しく起こして差し上げるつもりでしたのに。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…本当ですのよ？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	今日は苦労して、故郷から花を取り寄せましたの。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	本当はお部屋いっぱいにしたかったのですけれど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	戦の間は仕方がありませんわね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	…でもいつか、一面の花畑の中、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	二人きりで過ごしましょう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	約束ですわよ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	お目覚めに、あたくしの一番好きな花を差し上げますわ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	あなたには、花がとても似合いますわね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	日課の走り込みの時間ですわ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	迎えに参りましたわよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	うふふ、流石の寝起きの良さですわね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	それでこそ、あたくしのパートナー。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	惚れ直しましたわよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	実はここに来る前に、少し一人で走っていましたの。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	あたくしに告白してくださる前、あなたがそうしたように。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	大切な人を想って走ると、景色がキラキラしますのね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	こんな素敵な気持ち、今まで知りませんでしたのよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはようございます。さ、参りましょう。\x0E\x04\x00\x00
