MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	マージカノン
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	マージカノンは砲弾を発射して\n遠距離から攻撃してくるので注意が必要です
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	敵マージカノンの全体危険範囲表示は\n通常の全体危険範囲表示とは見た目が異なります
MID_TUT_HUB_WELL_TITLE	不思議な井戸
MID_TUT_HUB_WELL_0	井戸に要らないアイテムを落としてみましょう\n（落としたアイテムはなくなります）
MID_TUT_HUB_WELL_1	一度出撃した後、再び井戸を調べると\n落としたものとは違うアイテムが手に入ります
MID_TUT_HUB_WELL_2	落としたアイテムの価値が高いほど期待度も高くなり\nより良いアイテムが手に入る可能性が上がります
MID_TUT_HUB_WELL_WEAPON_1	武器屋が話したいことがあるようです
MID_TUT_HUB_WELL_WEAPON_2	武器屋の落とし物を探しに井戸に行ってみましょう
MID_TUT_HUB_WELL_WEAPON_3	井戸で拾った武器を武器屋まで届けましょう
MID_TUT_GOD_CHROM_TITLE	紋章士クロム
MID_TUT_GOD_CHROM_0	「紋章士クロム」はクロムの剣技と、相棒ルフレの\n魔法や策を用いた戦法で、敵を翻弄します
MID_TUT_GOD_CHROM_1	シンクロスキル「不意打ち」は\n「回避を＋補正する地形」から攻撃した場合に\n敵からの反撃を受けなくなります
MID_TUT_GOD_CHROM_2	エンゲージ武器「サンダーソード」は\n離れた敵に魔法攻撃を行うことができます
MID_TUT_GOD_CHROM_3	エンゲージスキル「半身」は\nルフレの力によって魔力が大きく上昇し\n戦闘時にルフレがチェインアタックに参加します
MID_TUT_GOD_CHROM_4	エンゲージ技「ギガサンダーソード」は\n魔力を帯びた剣で敵を攻撃し\n「魔防」が低い相手に大ダメージを与えられます
MID_TUT_GOD_VERONICA_TITLE	紋章士ヴェロニカ
MID_TUT_GOD_VERONICA_0	「紋章士ヴェロニカ」は、味方を召喚したり\n特殊な攻撃を行うなど、変則的な戦法を得意とします
MID_TUT_GOD_VERONICA_1	シンクロスキル「血讐」は\n敵を攻撃した時に、自分のHPが減っていたら\n減少分の30％を攻撃力に加算します
MID_TUT_GOD_VERONICA_2	エンゲージ武器「フリズスキャルヴ」は\nこちらから攻撃した際に、相手からの反撃を受けません
MID_TUT_GOD_VERONICA_3	エンゲージスキル「契約」は\n行動を終了した味方に、その場でもう一度\n攻撃やアイテムの使用を行う力を与えます
MID_TUT_GOD_VERONICA_4	エンゲージ技「英雄召喚」は\nマップに味方となるユニットをランダムに召喚し\n仲間として戦わせることができます
MID_TUT_TIPS_Veronica	紋章士ヴェロニカ
MID_TUT_TIPS_Chrom	紋章士クロム
MID_TUT_TIPS_Reflet	紋章士ルフレ
MID_TIPS_OTHER_36	「不思議な井戸」にアイテムを落とすと、一度出撃した後違うアイテムが戻ってくる
MID_TIPS_SKILL_34	自分よりレベルの高いユニットを撃破した時マップ終了まで自分のレベルが上がる
MID_TIPS_SKILL_35	戦闘やアイテム使用などを行わずに待機した時「異界の力」が1段階強化される
MID_TIPS_JOB_01	幻影狼の「牙呪」はレストの杖で解くことができる
MID_TIPS_GOD_35	他の世界への扉を閉ざす力を持つ、異界の国エンブラ帝国の皇女
MID_TIPS_GOD_36	異界の英雄を操る力を持つ少女。その力を使い、他国を侵攻した
MID_TIPS_GOD_37	異界の国イーリス聖王国の王子で、伝説の剣「ファルシオン」を受け継ぐ人物
MID_TIPS_GOD_38	クロムと強い絆を結んだ軍師。その策で戦局を変え、仲間を勝利へと導いた
