MID_WU_C_1_IN_#001	朝よ、神竜様…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	神竜様は寝覚めがいいのね…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	羨ましいわ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	私は眠ることも、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	起きることも苦手だから…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	全く…こんな陰気な女が起こしに来たら\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	寝覚めが悪くなるでしょうに…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	早く済ませて、戻りましょう…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	神竜様、起きて…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはよう…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	外はいい天気だわ。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	早く朝日を浴びて、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	私が起こしに来たことなど忘れて頂戴…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	綺麗ね。ずっと見つめていたいけれど…\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	それは許されない…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	起きたわね。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	それじゃ、私はこれで…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	明日はもっと陽気な誰かが起こしに来ることを\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	祈っているわ…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	持ち回りで神竜様を起こすだなんて、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	誰が考えたのかしら…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	私、こういうのは苦手なの…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	とても緊張してしまうから……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	お…おはよう……\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	別に好きで来たわけではないわ…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	でも、貴方に面と向かって挨拶ができて、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	少し嬉しい…\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	本当はずっと願っていたの。\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	聖地ソラネルに来ること、\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	そして…この祭壇で祈ること。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	……\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	ああ、ごめんなさい。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	少し祈りを捧げていたの。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	けれどもう終わったわ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	おはよう、私の神様。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	お父様に聞いたの。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ルミエル様はずっと、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	イルシオンの王族をリトスに招こうとしていたそうよ。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	でも、それは叶わなかった。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	だから、私は…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	おはよう、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	少しだけ、ここで祈らせて頂戴。\x0E\x04\x00\x00
