MID_WU_C_1_IN_#001	おい。惰眠を貪るな、神竜。
MID_WU_C_1_SOON_#001	大いびきをかいていた割には、
MID_WU_C_1_SOON_#002	寝起きが良いのだな。
MID_WU_C_1_SOON_#003	…ん？　ああ、いびきは嘘だ。
MID_WU_C_1_SOON_#004	信じるとは愚かな奴め。
MID_WU_C_1_WAKEUP_#001	ふん、間抜けな寝顔だな。
MID_WU_C_1_WAKEUP_#002	紋章士を目覚めさせる能力を有する我でも、
MID_WU_C_1_WAKEUP_#003	この世界では…普通に起こすしかない。
MID_WU_C_1_WAKEUP_#004	おい、起きろ。
MID_WU_C_1_HELLO_#001	やっと起きたか。
MID_WU_C_1_HELLO_#002	まったく、
MID_WU_C_1_HELLO_#003	この世界に来てまで人を起こすとは思わなかったぞ。
MID_WU_C_1_HELLO_#004	…用は済んだ、我は戻る。
MID_WU_C_2_IN_#001	我が起こしに来てやったぞ、神竜。
MID_WU_C_2_SOON_#001	ほう、我が来たのが嬉しいか？
MID_WU_C_2_SOON_#002	しかし残念だな、
MID_WU_C_2_SOON_#003	役目を終えたのでもう戻る。
MID_WU_C_2_SOON_#004	引き留めても無駄だぞ。
MID_WU_C_2_WAKEUP_#001	良いのか。
MID_WU_C_2_WAKEUP_#002	かつて敵であった我に、
MID_WU_C_2_WAKEUP_#003	そのような寝顔を晒して。
MID_WU_C_2_WAKEUP_#004	もし以前の我であれば、
MID_WU_C_2_WAKEUP_#005	貴様は今頃どうなっているかわからぬぞ。
MID_WU_C_2_HELLO_#001	ふっ、やっと起きたな。
MID_WU_C_2_HELLO_#002	無事に目覚められたことに感謝しろ。
MID_WU_C_2_HELLO_#003	仲間であれど何を企んでいるかわからんと
MID_WU_C_2_HELLO_#004	…貴様は我で学んだだろう？
MID_WU_B_1_IN_#001	確かに、目覚めさせる役割といえば
MID_WU_B_1_IN_#002	我が適任であろう。
MID_WU_B_1_IN_#003	だからと言ってだな…
MID_WU_B_1_SOON_#001	おお、やればできるではないか。
MID_WU_B_1_SOON_#002	我が来る前に勝手に起きてくれれば
MID_WU_B_1_SOON_#003	もっと良かったのだがな。
MID_WU_B_1_WAKEUP_#001	はあ…神竜起こし係という
MID_WU_B_1_WAKEUP_#002	珍妙な係が罷り通っているのは解せぬ。
MID_WU_B_1_WAKEUP_#003	我は他の者のように優しくは起こさぬぞ。
MID_WU_B_1_WAKEUP_#004	今ここで竜石を使って…む？
MID_WU_B_1_HELLO_#001	勘の良い奴だ。
MID_WU_B_1_HELLO_#002	あと少し遅かったら…
MID_WU_B_1_HELLO_#003	起き抜け一番に、
MID_WU_B_1_HELLO_#004	大きな邪竜とご対面と相成っていたぞ。
MID_WU_B_1_HELLO_#005	そうならなくて、良かったな？
MID_WU_B_2_IN_#001	まだ寝ているのか。
MID_WU_B_2_IN_#002	全く、お前という奴は。
MID_WU_B_2_SOON_#001	すぐに起きたから許してやろう。
MID_WU_B_2_SOON_#002	今度我の時間を無駄にさせるようであれば…
MID_WU_B_2_SOON_#003	わかっているな？
MID_WU_B_2_WAKEUP_#001	おい、この前の我の話を聞いただろう。
MID_WU_B_2_WAKEUP_#002	姉の目覚めを待った我に…
MID_WU_B_2_WAKEUP_#003	今度は貴様の目覚めを待たせるとは、
MID_WU_B_2_WAKEUP_#004	良い度胸だな。
MID_WU_B_2_HELLO_#001	おはよう。
MID_WU_B_2_HELLO_#002	どいつもこいつも、
MID_WU_B_2_HELLO_#003	我の時間を何だと思っているのだ。
MID_WU_B_2_HELLO_#004	まあ、千年待つことを思えば、
MID_WU_B_2_HELLO_#005	瞬きほどの時間であったがな。
MID_WU_A_1_IN_#001	だらしないぞ、神竜。
MID_WU_A_1_IN_#002	たまには我のように、定められた時間に目覚めろ。
MID_WU_A_1_SOON_#001	おはよう、と言ってやろう。
