MID_WU_C_1_IN_#001	チャオー！　神竜様、すがすがしい朝だよーっ！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	うんうん、良い寝起き！\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	健康的であたしも安心だよ。\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	軍の大将は、そうでなくっちゃ！\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	ちょっと早く来すぎちゃったかな？\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	じゃ、歌でも歌って待つとしますか。\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	朝～お日様キラキラ～\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	神竜様はスヤスヤ～♪\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	歌ってたら神竜様が起きた～♪\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	ごめんごめん、\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	ちょっとだけうるさかった？　おはよう！\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	おなかすいたー！　神竜様、一緒にごはん行こー！\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	あ、寝てる。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	あ、起きた起きた。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	何か食べに行こーよ！\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	あたし、食べてもすぐお腹すいちゃうんだよねー。\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	動くからかな？\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	そうだ、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	食べ物の名前を囁いたら起きてくれないかな。\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	こんがりお肉に、魚の揚げ物…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	焼き菓子、フルーツ、焼き立てパン…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	あ、起きたね神竜様！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	さあさあ、何か食べに行こ！\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	おいしくって、もちろんがっつり\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	大盛のやつを！\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	走ってきたらお腹すいちゃった…\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	起こす時間まで、ここでご飯にしようかな？\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	おはよ！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	起きるのもうちょっと遅かったら、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	ここで焚火してお肉焼いちゃうとこだったよー！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	ちょいと火を起こして、お肉を置いて…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ああ、こんがり焼けてきたぁ…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	あれ、大変！　火が大きい！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	水、水をかけなきゃ！　えーい！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	あ、あはは…別に、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	お肉を焼いたりなんかしてないよ？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	さ、早く部屋を出てごはんにしよ！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	あたしお腹ぺこぺこ！\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	お肉たくさん焼いちゃったから手伝ってよ、神竜様！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	寝てるのにごめんね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	みんなにも手伝ってもらったんだけど、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	次々とダウンしちゃって…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	神竜様の胃袋には期待してる！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	狩りに行って仕留めた、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	大きな猪のお肉だよ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	あ…この前みたいに\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	敵の本拠地に乗り込むお誘いじゃないから、安心してね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	起きた起きた！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	さあ、今日は敵と戦う前に大量のお肉と戦うよ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	余らせて腐っちゃったら、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	もったいないもんね！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	あたしの好きな神竜様は～♪\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	いつもギリギリまで寝てる～♪\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	と思ったら\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	すぐ起きた！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	ちょっと早く来たからまだ時間あるよ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	あたしと朝のお散歩でもする？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	ふむ…歌っても起きなくなってきたところに、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	あたしたちの絆を感じるね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	母さんでも一発でも飛び起きるのに、すごいよ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	チャオー！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	今日もいい朝だよ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	どうせ戦いに行くんだから、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	この時間ぐらいはリラックスして過ごそう！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	だーれだ？\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	これだけでわかったら神竜様、すごいよ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	じゃーん。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	答えはあたし、ミスティラでした。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	一緒に盗賊を壊滅させた仲だもん、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	実はすぐにわかったでしょ？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	もう少し話したらわかるかな…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	この前、二人で盗賊と戦ったよね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	囲まれてハラハラしたけど、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	勝てた時はスカッとしたなー！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おはよ！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	ここまで聞いたら、もうわかってたよね。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	窮地で背中を守り合った仲だもん。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	これからも良いコンビでいようね！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	あたしだよ、神竜様っ！　この美声で、もう分かるよね？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよ！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	やっぱりパートナーの顔を見ないと始まんないね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	明日も生きて、絶対に無事で、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	おはようって言おうね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	ふふ、あなたが起きても起きなくても、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	朝のこの時間は楽しいよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	ずーっとこうしてたいなって思うけど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	やっぱり寿命が違うから、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	悔しいけどあたしが先に旅立っちゃうんだよね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	…いつかあたしがいなくなったら、\x0E\x04\x00\x00
