MID_ACHIEVE_RELIANCE_FIRST	\x0E\x01\x00\x00と支援会話を行った
MID_ACHIEVE_RELIANCE_B_FIRST	初めて支援会話Bを見た
MID_ACHIEVE_RELIANCE_B_COUNT	仲間\x0E\x01\x00\x00人の支援会話Bを見た
MID_ACHIEVE_RELIANCE_A_FIRST	初めて支援会話Aを見た
MID_ACHIEVE_RELIANCE_A_COUNT	仲間\x0E\x01\x00\x00人の支援会話Aを見た
MID_ACHIEVE_RELIANCE_ENGAGE	支援会話\x0E\x08\x02\x1A\x18RelianceRingを見た
MID_ACHIEVE_PLAY_TIME	\x0E\x01\x00\x00時間プレイした
MID_ACHIEVE_CHAPTER_CLEAR	\x0E\x01\x00\x00「\x0E\x01\x01\x00」を終えた
MID_ACHIEVE_ENCOUNT_BATTLE_FIRST	遭遇戦を初めて行った
MID_ACHIEVE_ENCOUNT_BATTLE_COUNT	遭遇戦を\x0E\x01\x00\x00回行った
MID_ACHIEVE_BATTLE_COUNT	戦闘を\x0E\x01\x00\x00回行った
MID_ACHIEVE_SOLDIER_DEFEAT_FIRST	一般兵士を初めて撃破した
MID_ACHIEVE_SOLDIER_DEFEAT_COUNT	一般兵士を\x0E\x01\x00\x00人撃破した
MID_ACHIEVE_MORPH_DEFEAT_FIRST	異形兵を初めて撃破した
MID_ACHIEVE_MORPH_DEFEAT_COUNT	異形兵を\x0E\x01\x00\x00体撃破した
MID_ACHIEVE_BANDITS_DEFEAT_FIRST	蛮族を初めて撃破した
MID_ACHIEVE_BANDITS_DEFEAT_COUNT	蛮族を\x0E\x01\x00\x00人撃破した
MID_ACHIEVE_CANE_COUNT	杖を\x0E\x01\x00\x00回使用した
MID_ACHIEVE_SORTIE_COUNT	\x0E\x01\x00\x00が\x0E\x01\x01\x00回出撃した
MID_ACHIEVE_CRITICAL_FIRST	初めて必殺の一撃が発動した
MID_ACHIEVE_CRITICAL_COUNT	必殺の一撃が\x0E\x01\x00\x00回発動した
MID_ACHIEVE_ENGAGE_FIRST	初めてエンゲージを行った
MID_ACHIEVE_ENGAGE_COUNT	エンゲージを\x0E\x01\x00\x00回行った
MID_ACHIEVE_ENGAGEATTACK_FIRST	初めてエンゲージ技を行った
MID_ACHIEVE_ENGAGEATTACK_COUNT	エンゲージ技を\x0E\x01\x00\x00回行った
MID_ACHIEVE_AVOIDANCE_FIRST	攻撃回避を初めて行った
MID_ACHIEVE_AVOIDANCE_COUNT	攻撃回避を\x0E\x01\x00\x00回行った
MID_ACHIEVE_DEGENSE_FIRST	攻撃防御を初めて行った
MID_ACHIEVE_DEGENSE_COUNT	攻撃防御を\x0E\x01\x00\x00回行った
MID_ACHIEVE_CHAIN_FIRST	チェインアタックを初めて行った
MID_ACHIEVE_CHAIN_COUNT	チェインアタックを\x0E\x01\x00\x00回行った
MID_ACHIEVE_CHAIN_UNIT_COUNT	\x0E\x01\x00\x00人のチェインアタックが発生した
MID_ACHIEVE_BREAK_FIRST	ブレイクを初めて行った
MID_ACHIEVE_BREAK_COUNT	ブレイクを\x0E\x01\x00\x00回行った
MID_ACHIEVE_SMASH_FIRST	スマッシュを初めて行った
MID_ACHIEVE_SMASH_COUNT	スマッシュを\x0E\x01\x00\x00回行った
MID_ACHIEVE_MINIGAME_FIRST	アクティビティを初めて行った
MID_ACHIEVE_MINIGAME_COUNT	アクティビティを\x0E\x01\x00\x00回行った
MID_ACHIEVE_RING_FORM_FIRST	指輪精製を初めて行った
MID_ACHIEVE_RING_FORM_COUNT	指輪精製を\x0E\x01\x00\x00回行った
MID_ACHIEVE_RING_MIX_FIRST	指輪合成を初めて行った
MID_ACHIEVE_RING_MIX_COUNT	指輪合成を\x0E\x01\x00\x00回行った
MID_ACHIEVE_BONDSRING_C_COUNT	Cランクの絆の指輪を\x0E\x01\x00\x00個手に入れた
MID_ACHIEVE_BONDSRING_B_COUNT	Bランクの絆の指輪を\x0E\x01\x00\x00個手に入れた
MID_ACHIEVE_BONDSRING_A_COUNT	Aランクの絆の指輪を\x0E\x01\x00\x00個手に入れた
MID_ACHIEVE_BONDSRING_S_FIRST	Sランクの絆の指輪を初めて手に入れた
MID_ACHIEVE_BONDSRING_S_COUNT	Sランクの絆の指輪を\x0E\x01\x00\x00個手に入れた
MID_ACHIEVE_RING_CLEANING_FIRST	指輪\x0E\x01\x08\x00磨きを初めて行った
MID_ACHIEVE_RING_CLEANING_COUNT	指輪\x0E\x01\x08\x00磨きを\x0E\x01\x00\x00回行った
