MID_WU_C_1_IN_#001	僭越ながら、わざわざ起こしに来て差し上げました…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	呼び声ひとつで華麗に起こして、\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	すみません…\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	少し有能すぎたようですね…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	成程…わたしの美声がもっと聞きたいようですね…\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	お望みどおりにある程度話し続けるので、\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	気が済んだらどうぞ起きてください…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	おはようございます…\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	わたしが来て嬉しそうですね。\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	その気持ち、わかります…\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	はあ…朝風呂は気持ちが良かったです…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	風呂と聞いてすぐさま起きるあたり、\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	綺麗好きとお見受けします…\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	神竜様もさっぱりしてきてください…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	お風呂は好きですけれど、困った面もありますね…\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	入るたびに、ただでさえ可愛いわたしが、\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	もっと可愛くなってしまいますから…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	わたし、\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	このために早起きして、身綺麗にしてきたので…\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	もっと褒めてくださってもいいんですよ…？\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	すみませんが、今すぐ起きてください…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	あの…驚くべきことに、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	もう昼です…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	わたしが寝坊したおかげで、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	いつもよりよく眠れて、良かったですね…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	はあ、まさか寝坊するなんて…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	よく寝たせいでここに来るのが遅れたばかりか、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	お肌がさらに綺麗になってしまいました…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	すみません…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	起こすのに莫大な時間がかかったせいで、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	もう昼です…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	え？　わたしが寝坊？\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	ちょっと…よく聞こえませんね…\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	あの…他の人はどんな起こし方をされてるんですか…？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	そんなにすぐに目覚められるなら、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	奇抜な方法は必要なさそうですね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	あ、今…別に朝ではないので\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	まだ寝ててください…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	どうしたら神竜様をなびかせることができるのか…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	お弁当も涙も効果がなかったので、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	起こす方法で変化をつけるに思い至りました…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	…考えている間に起きましたね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	どうです、起き抜け一番に見る女神のような美貌は…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	さあ、わたしになびいてください…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	自分で言うのも何ですけど、\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	今日考えてきた起こし方は天才的かと…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	わたしが来て、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	嬉しくて飛び起きる気持ちはわかりますが…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	天才的と宣言した起こし方を試さないとは、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	畏れ入りましたね…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	どうぞ、癒される水の音です…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	わざわざ汲んできたんです…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	他の起こし係にはない斬新な発想…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	惚れてしまってもいいんですよ…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	可愛い上に、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	起こし上手ですみません…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	ああ、お礼なんて結構ですので…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	幼少期からモテにモテているわたしが参りましたよ…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	一瞬で起きられましたね…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	誰だか確認したかったのだと思いますけど…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	そんなのわたしに決まっているじゃないですか…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	本当はわかっているんです、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	一番モテるのは神竜様、あなただということに…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	その規模は世界的…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	そんなの勝てるわけありません…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	でも、そんなあなたが魅力的と言ってくださったことは\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	誇りに思います…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	もっと惚れても、いいんですよ…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	ふふ。あなたの大好きなわたしが来ましたよ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	…嬉しくてすぐ起きてくれたんですか？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	わたしのパートナーがこんなに素敵で、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	皆さんに申し訳ないですね…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	わたしが来たのに起きないなんて…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	疲れているんですね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	いつも頑張っていて、本当に偉いです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	あなたはすごいです…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	わたしは滅多に、絶対に人を褒めないのですが、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	今日だけは特別です。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	だってわたし、あなたのことが大好きなので…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#008	…すみません。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	わたしがいて嬉しいですか？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	…え？本当に嬉しい？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	…ちょっと、それは反則です…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	なんだか調子が狂うじゃないですか…\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	起きてますか、起きてませんか…？\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	わたしはどっちでも好都合です…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	早く起きたらその分、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	わたしの顔を堪能してください。わたしも…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	滅多にない、二人っきりの時間を\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	堪能させてもらいます…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	パートナーの美声を聞いていたいという魂胆ですか…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	いいでしょう。あなたの前ではもう、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	モテの波状攻撃をしないつもりでしたが…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	やっぱり今日も可愛くして、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	あなたの好きな料理を作りました。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	これは…わたしの方があなたに、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	惚れてしまっているせいですね…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	わたしに起こされて幸せだと思いますが…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	すみません、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	世界一の幸せ者はわたしです。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	だって好きな人から、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	指輪を貰ったんですから。\x0E\x04\x00\x00
