MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nThis army's too pretty. It's not right.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nHow am I supposed to be the cutest when the\ncompetition is this gorgeous?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nAha, say no more!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nWait, you're...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nOnly a troubled maiden's best friend─the one\nand only Lady Anna! Cha-ching!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nIf it's cuteness you're after, Princess Hortensia,\nyou might be interested in my beauty line!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nYou have my attention! I should tell you,\nthough, I'm kinda picky about product.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nI guarantee satisfaction with everything I sell.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nAfter all, what I've got on offer today is tailored\njust for you!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nYou're confident. I like that. OK, show me what\nyou got.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nOf course!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nFirst is this pink rouge. Just a dab stays on all\nday. Apply it in the morning and forget about it!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOoo...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nThere's also lipstick, soap, skin cleanser, and\na crystal enchanted to add shine to your hair.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nAnd finally, an accessory case to hold it all. The\nrainbow palette makes you cute just holding it!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nThese are...INCREDIBLE! I've gotta have 'em─\nI'll take 'em all!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nThanks for the business! Ooh, I'm making\na killing!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nYou deserve it─your stuff's impressive.\nI'm gonna be more adorable than ever!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nIndulge me in a little market research. Why do\nyou want to be cute, Princess Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nUh, because the cuter you are, the more people\nlike you, obviously.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nSo it's a popularity thing for you, huh?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nOf course. Anyway, I'm off─gotta see how all\nthis is gonna come together for my look.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nThanks, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nWhy the long face, Princess Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nI tried your whole beauty line, but something's\nstill not quite right.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nAre you saying...you're a dissatisfied customer?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, the products are great... They're just not\nmaking me as happy as I thought they would.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nDon't be so sure! My beauty line is tried, tested,\nand terrific.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nIt's expanded a bit since last time too. I'm now\nstocking my own brand of magic perfume.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMagic perfume? Is that a thing?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nYup. This enchanted aroma will put your\ncuteness over the top for sure.\x0E\x04\x00\x00
