MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nWhy hello, Chloé. Fancy meeting you here.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nHi there, Citrinne. I'm just here picking up\nsome lunch.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nYou can only get it at this street stall, but the\ntaste is worth the trip. It's my favorite.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nReally? If it's as delicious as you say, I'd like to\ntry some for myself.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nHere. I'll treat you. Excuse me, sir? I'll take\neverything you have, please.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nThe whole stock?!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nDon't fret about the money. This way, if we\nhave extra, we can share with the others.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nThank you for wrapping all of that, sir. Here's a\nlittle more gold for your trouble.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nHuh? Are these...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nIt's folk food! Salt-pickled fish guts, in this case.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh. How, uh...charming.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nOh, sorry. I love this stuff, but it might be too\nmuch for you to handle.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nNo, no. One mustn't show prejudice toward\nfood without trying it first.\x0E\x04\x00\x00
