MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHow are you, Madeline? Are you adjusting to\nthis world?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nI was uneasy at first, but I'll say I am feeling\nmore comfortable on and off the battlefield.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nIt makes me happy to hear that. Try not to push\nyourself too hard, all right?\x0E\x04\x02\x00
MID_RELIANCE_C_#004	I'm concerned because, well...you often\noverdo it.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nZelestia... Now that we're in this new world,\nI'd appreciate it if you stopped babying me.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Really, there's no need to worry. I'm not\noverdoing anything.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nWell, I suppose I don't need to nag too much.\nThere are others here also watching out for you.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nYes, even the people of this world, despite my\nbeing new here. I'm grateful for their hospitality.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	It hardens my determination to work on their\nbehalf and match their kindness.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nLook at you, being so ceremonious, haha.\nIt reminds me of Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nHuh?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm sorry. I didn't mean to...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nIt's all right. You just caught me off guard.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	I won't deny that my speech and manners\nresemble his. He was my mentor, after all.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	After my parents' deaths, it was he who took\nme in and trained me for battle.\x0E\x04\x00\x00
