MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nUgh, I have to check that place out, but it's too\ndangerous to go by myself...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nPardon me, but I couldn't help overhearing...\nAre you planning a trip somewhere?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nListen to this, Panette. There are rumors about\na nearby forest that hides an old mansion...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nOh? I have never heard of this place.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nMe neither! I just learned about it. According to\nlocal legends, a famous knight lived there.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nHe was a brave and noble warrior who fought\nas if he would never die...right up until he died.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nThe very next day, people say the knight's spirit\ncould be seen wandering inside the mansion...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nHow extraordinary!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nPoor guy doesn't know he died! Now he roams\nhis own halls as a shadow of his former self.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nWould that not make him...a ghost?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nOh, huh... Well, if you want to get all technical\nabout it, then sure.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nWhy, I should like to see this place for myself!\nI adore ghosts.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nYou do?! Great! Let's check it out together.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nThat'll be way, way easier than checking it out\nall by myself.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nEven Prince Diamant turned me down─and he's\nnot afraid of anything!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nThen pray bring me along. I can think of nothing\nthat would make me happier.\x0E\x04\x00\x00
