MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWho's winning the staring contest, you or that\nhistory book?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAh! Prince Diamant! Sorry, I didn't notice you\ncome in.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nNo need to apologize, Framme. What's got you\nso frustrated? Anything I can help with?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nI messed up some of my steward duties again,\nso Vander gave me an ongoing "study duty."\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nHe was all, "You never take your role seriously,"\nand, "The least you can do is educate yourself!"\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, so Vander gave you that book. Doesn't look\nlike you're enjoying it very much.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nHistory is so boring! It's just wars, border\ndisputes, wars, trade stuff, more wars...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nWhy does everyone have to fight all the time?\nWhy can't everyone just relax and be friends?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHistory does tend to be a chronicle of warfare.\nThat's been true since the first Fell Dragon war.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIt's not all battles and bloodshed, though.\nFor instance...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMy ancestors were able to found Brodia thanks\nto Lumera's protection, not open warfare.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nYou really do learn a lot by studying history.\nVander has the right idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nEh. If you say so...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nHeh, just keep reading. It's not all dates and\ntrivia, I promise. These are stories about people.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nYeah, I guess you're right. I haven't even made\nit very far... It's kind of draining.\x0E\x04\x00\x00
