MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHello, Nel. I'd like to speak with you a moment,\nif that's all right.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nCertainly. I have been meaning to have a word\nwith you as well.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	And there is no need for apprehension. You may\nspeak freely with me anytime you like.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nThank you. I wanted to ask... Are you really\nPapa's─I mean Sombron's─daughter?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	I've been wondering ever since I heard you were\na Fell Dragon.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nI am. And there was another of his children─in\nmy world─whose name was Veyle.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	According to Mauvier, she was quite strict but\nalso very kind.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nSo there was another version of me in your\nworld. What a peculiar feeling.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04エル\nMy feeling is that I am grateful fate has given us\nthis opportunity to converse.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMy siblings are gone... Well, all but one. I never\ndreamed I'd find another sister.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nYou consider me a sibling.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nOf course I do. You may be from another world,\nbut you're Papa's daughter, the same as me.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nAnd friendship is not sufficient for you.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nDo you...not want to be my sister?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nMy heart is gladdened to hear your words, but\nmy mind is not prepared to accept them.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	My Sombron is not your "papa." And Rafal has\nbeen my only sibling for a long time.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nYou're right. I put this on you very suddenly,\ndidn't I?\x0E\x04\x02\x00
MID_RELIANCE_C_#018	I'm sorry for getting overexcited. Let's forget\nabout it for now and speak again another time.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHi, Nel. I'm sorry about before. I should have\nrealized you might not see me as a sister.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	I was thinking it might help if we spent a little\ntime together. I brought us something to eat.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nA shared meal seems a fine way for us to kindle\nour friendship.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nGreat! I hope you don't mind if it's spicy.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nI happen to enjoy a great deal of heat and salt\nin my food.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh, good! In that case, you're definitely going\nto enjoy this.\x0E\x04\x02\x00
