MID_FOOD_RESULT	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_FOODRANK_Superb	First-Rate 
MID_FOODRANK_Delicious	Delicious 
MID_FOODRANK_Growling	Lip-Smacking 
MID_FOODRANK_Melt	Mouthwatering 
MID_FOODRANK_HighKing	Conqueror's 
MID_FOODRANK_HolyMother	Saintly 
MID_FOODRANK_Courage	Courageous 
MID_FOODRANK_Wisdom	Sagacious 
MID_FOODRANK_Chalk	Divine 
MID_FOODRANK_Mens	Robust 
MID_FOODRANK_ForBoys	Decadent 
MID_FOODRANK_Woman	Audacious 
MID_FOODRANK_ForGirls	Dainty 
MID_FOODRANK_Adult	Tasteful 
MID_FOODRANK_Child	Trendy 
MID_FOODRANK_Your	Your Favorite 
MID_FOODRANK_Discerning	Sophisticated 
MID_FOODRANK_Whimsical	Whimsical 
MID_FOODRANK_Rich	Extremely Rich 
MID_FOODRANK_Refreshing	Light, Refreshing 
MID_FOODRANK_Sharp	Well-Balanced 
MID_FOODRANK_Friendly	Mild 
MID_FOODRANK_BrodiaStyle	Brodia-Style 
MID_FOODRANK_FileneStyle	Firene-Style 
MID_FOODRANK_SolumStyle	Solm-Style 
MID_FOODRANK_IrcionStyle	Elusia-Style 
MID_FOODRANK_LithosStyle	Lythos-Style 
MID_FOODRANK_Wild	Rustic 
MID_FOODRANK_Exciting	Hearty 
MID_FOODRANK_CarefullySelected	Carefully Crafted 
MID_FOODRANK_Fresh	Fresh 
MID_FOODRANK_Spicy	Extremely Spicy 
MID_FOODRANK_Hot	Spicy 
MID_FOODRANK_Bitter	Bitter 
MID_FOODRANK_Bittersweet	Bittersweet 
MID_FOODRANK_SuperSweet	Extremely Sweet 
MID_FOODRANK_Sweet	Sweet 
MID_FOODRANK_Chewy	Crunchy 
MID_FOODRANK_Hard	Rather Tough 
MID_FOODRANK_Habit	Delightful 
MID_FOODRANK_Smart	Kind of Odd 
MID_FOODRANK_Normal	Ordinary 
MID_FOODRANK_Mistake	Not-Quite-Right 
MID_FOODRANK_Shortage	Lackluster 
MID_FOODRANK_DifferentStar	Unutterably Alien 
MID_FOODRANK_DefinitelySuffer	Stomach-Churning 
MID_FOODRANK_Carbonization	Completely Burnt 
MID_FOOD_OnionSoup	Onion Soup
MID_FOOD_H_OnionSoup	A modest yet flavorful soup made\nwith onions, water, and spices.
MID_FOOD_ConsommeSoup	Bean and Veggie Consommé
MID_FOOD_H_ConsommeSoup	A soup made with stewed sausage,\nbeans, and vegetables. The base\nmay vary depending on the cook.
MID_FOOD_DumplingsOfMeat	Minced-Meat Dumplings
MID_FOOD_H_DumplingsOfMeat	Minced meat, vegetables, and bread\ncrumbs, all seasoned with herbs,\nthen wrapped in dough and boiled.
MID_FOOD_PotatoSoup	Potato Soup
MID_FOOD_H_PotatoSoup	A thick, comforting soup made with\nsoft, tender potatoes.
MID_FOOD_WhiteSausage	White Sausage
MID_FOOD_H_WhiteSausage	Sausages made from mutton and\nfresh bacon. Contain additional\nherbs for an extra bit of flavor.
MID_FOOD_StewedSaltedMeat	Salted-Meat Stew
MID_FOOD_H_StewedSaltedMeat	Salted pork shank that has been\nstewed among vegetables and herbs\nfor several hours.
MID_FOOD_CreamCroquette	Cream Croquette
MID_FOOD_H_CreamCroquette	Crispy croquettes filled with creamy\nwhite sauce.
MID_FOOD_SmokedEel	Smoked Freshwater Eel
MID_FOOD_H_SmokedEel	Eel that has been gutted and smoked\nwhole. You can even eat the skin!
MID_FOOD_PickledPicklesHerringRoll	Pickle Herring Rolls
MID_FOOD_H_PickledPicklesHerringRoll	Onion and tomato pickles wrapped\nin a roll of vinegar-pickled herring.
MID_FOOD_FriedCarp	Deep-Fried Carp
MID_FOOD_H_FriedCarp	A carefully gutted carp dunked\nwhole into hot oil.
MID_FOOD_ApplePie	Apple Pie
MID_FOOD_H_ApplePie	A freshly baked pie stuffed with thin\nslices of apple.
MID_FOOD_StewedCabbage	Pickled Cabbage
MID_FOOD_H_StewedCabbage	Shredded cabbage mixed with salt\nand spices, then pickled inside a pot\nor jar.
MID_FOOD_PotatoPancakes	Potato Pancakes
MID_FOOD_H_PotatoPancakes	Pan-fried dough made with grated\npotatoes.
MID_FOOD_SteamedDumpling	Steamed Dango
MID_FOOD_H_SteamedDumpling	Soft balls of bread dough that have\nbeen steamed with warmed butter\nand milk inside a lidded pot.
MID_FOOD_OnionQuiche	Onion Quiche
MID_FOOD_H_OnionQuiche	Plentiful onions, sautéed with bacon,\nnestled into quiche dough and baked\nin an oven.
MID_FOOD_FruitHamToast	Apple and Cheese Toasties
MID_FOOD_H_FruitHamToast	Ham, apple slices, and cheese\narranged atop a slice of freshly\ntoasted bread.
MID_FOOD_PeachCake	Peach Cake
MID_FOOD_H_PeachCake	Peaches baked in buttery dough,\nthen sprinkled with powdered sugar\njust before eating.
MID_FOOD_NutsAndHoneyCake	Caramel Nut Cake
MID_FOOD_H_NutsAndHoneyCake	A cake with sliced, caramelized nuts\nmixed into the dough, featuring a\nmiddle layer of custard cream.
MID_FOOD_BoiledRedWineInBerry	Syrup-Simmered Berries
MID_FOOD_H_BoiledRedWineInBerry	Berries and red syrup, simmered\nand cooled until thick, served with\na scoop of cold ice cream.
MID_FOOD_FriedBreadOfDonutStyle	Jelly Doughnuts
