MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPhew! Another glorious sweat. That smell's\nhow you know the training's done.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nRight. Next, a bath, then chow.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x02\x0A\x08パネトネ\nSaphir, pardon me, but we simply must do\nsomething about that vulgar tongue of yours.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nUh, hey, Panette. What's all that, now?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nThough we hail from different countries, we are\nboth employed in the service of royals.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nIn our position, one must act─and speak─\nunimpeachably. At all times.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nUnimpeachably, huh?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nWell, I've talked this way my whole life. Feels\nlike I'd remember it being a problem.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nOh, but don't you see? A knight's bearing\nspeaks to the bearing of her nation.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nIf she makes even the smallest misstep, it may\nlinger as a national mark of shame!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nIs that right...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nSo you're saying if I act how I please, folks'll get\nthe wrong idea about my whole kingdom.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パネトネ\nPrecisely so. I am glad you appreciate the\ngravity of the situation.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nBut never fear, dearest Saphir!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nI shall give you a master class in proper speech\nand manners!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nUh, OK? Is that...good?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パネトネ\nIndeed! I will begin planning. Prepare to learn\nlike your life depends on it!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nHow much longer...do I gotta do this\nkneeling crap?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh-ah-ah! Language. Try again.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nAt what length...did my lady say...I'm to\ncontinue...this kneeling crap?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nOnly one hour longer.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nAny courtier worth her salt must be able to\nkneel for at least that time.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nAn hour?! Uh... An hour, you say? Indeed?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nThat's fine... Only my back's on fire now.\nLegs went numb ages ago...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nUrgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nAUGH! Forget it! I'm done!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nOnly combat's allowed to be this exhausting!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nSorry, but I'm gonna call it here. This stuff isn't\nfor me.\x0E\x04\x00\x00
