MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nDone... It's done. Curses, what do I do now?\nHow do I go on *living*?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nIs something wrong, Zelkov? I can lend an ear,\nif you wish to discuss whatever it is.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nThat is very kind of you. But I doubt you would\ntruly *understand.*\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nTry me.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nOne of my *pursuits*...has come to an end.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. You're broken up over a...hobby? I assumed\nit was something more serious.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nThe word "hobby" is insufficient to describe\nwhat is absolutely *paramount* to me.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nI... I see. Apologies. Please, go on.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nI had been *nurturing* a young bird.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nHer parents had *abandoned* her. She had not\nyet learned to fly.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nI took it upon myself to *care* for her. In doing\nso, I became something of a foster parent.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nAww, how adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nIt is done, now. She has gone.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nShe escaped?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nShe has left the nest. Taken her *rightful* place\namong the clouds.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nPardon me, but...isn't that a good thing?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nYes. It was my *intention* from the start.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nIndeed, as an instructor, I am *proud* to see her\nfly away all on her own.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nBut as a father, I am *consumed* by loss.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nDo you understand my problem now, Citrinne?\nDo you have a *solution* for me?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nHmm... I could purchase a similar-looking bird\nfor you to care for. Or hire a search party.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, *that* won't do...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nシトリニカ\nIn that case, there likely isn't much I can do.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nI understand. In that case, I will take up no more\nof your time. This will be my *burden* to bear.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0C\nシトリニカ\nI'm sorry, Zelkov. I wish there was something\nI could do to help.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov, how have you been?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nDespite attempts to drown it in other pursuits...\nmy loss continues to *consume* me.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nAh... That's too bad.\x0E\x04\x00\x00
