MID_H_INFO_WLV_Bullet	Cannonball
MID_MSG_LOST_ITEM	You lost \x0E\x01\x00\x00\x0E\x01\x01\x00.
MID_DLC_News_Patch2_Title	Ver. 1.3.0
MID_DLC_News_Patch2	Expansion Pass\n\n・ Emblem Chrom (with Robin) and Emblem Veronica have\n  been added. They will join your group once you complete\n  their respective Divine Paralogues.\n\nFree Content\n\n・ The ancient well has been added to the Somniel. You can\n  use it to exchange items you don't want for new items.\n\n・ You can now use Inherit Skills in the Arena as well as\n  the Ring Chamber.
MCID_G003_PREFIX	Divine Paralogue
MCID_G003	The Lonely Heir
MCID_G003_PLACE	Heroes' Sanctuary
MCID_G003_OUTLINE	A bracelet has been sighted on an\nisland floating in the sky.
MCID_G006_PREFIX	Divine Paralogue
MCID_G006	The Shepherd Exalt
MCID_G006_PLACE	Altar of Destiny
MCID_G006_OUTLINE	A bracelet has been sighted deep\nwithin a solemn temple.
MID_RULE_G003_WIN	Defeat Emblem Veronica.
MID_RULE_G006_WIN	Defeat Emblems Chrom and Robin.
MTID_StartupTile	Activation Tile
MTID_MagicWall	Barrier
MTID_Pond	Pool
MPID_PhantomWolf	Fabrication
MPID_H_PhantomWolf	A soulless beast created by secret\ntechniques. It has no will of its own\nand only follows its master's orders.
MPID_Veronica	Veronica
MPID_H_Veronica	Known as the Emblem of Heroes. A\nprincess with the power to control\nheroes from other worlds.
MPID_Chrom	Chrom
MPID_H_Chrom	Known as the Emblem of Bonds. An\nexalted prince with a deep trust of\nhis allies and desire to change fate.
MPID_Reflet	Robin
MPID_H_Reflet	Known as the Emblem of Bonds. A\nstrategist who lost his memory, but\nnot his tactical skills.
MGID_Veronica	Veronica
MGID_H_Veronica	Known as the Emblem of Heroes.\nPossesses great magical power and\nfights with tomes and staves.
MGID_H_EnemyVeronica	An Emblem that awakened from the\nBracelet of the Lonely Heir.
MGID_Chrom	Chrom
MGID_H_Chrom	Known as the Emblem of Bonds.\nStrikes down foes with the strength\nof his sword and allied bonds.
MGID_H_EnemyChrom	The Emblem that awakened from the\nBracelet of the Shepherd Exalt.
MGID_Reflet	Robin
MGEID_Veronica	Heroes
MGEID_Chrom	Bonds
MJID_MageCannon	Mage Cannoneer
MJID_H_MageCannon	An armored foot soldier equipped\nwith a handheld cannon. Launches\nranged attacks.
MJID_PhantomWolf	Phantom Wolf
MJID_H_PhantomWolf	Wolves that move swiftly around the\nbattlefield. They confound their foes\nas they lash out with cursed fangs.
MIID_Trahison	Représailles
MIID_H_Trahison	Battle lance that exudes an\notherworldly air.
MIID_Levanche	Revanche
MIID_H_Levanche	Battle axe that exudes an\notherworldly air.
MIID_Chocolate	Biting Blade
MIID_H_Chocolate	A sword with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_SoftCream	Swirlance
MIID_H_SoftCream	A lance with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_Lollipop	Lollichop
MIID_H_Lollipop	An axe with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_Croissant	Croissbow
MIID_H_Croissant	A bow with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_Tiramisu	Tiramistorm
MIID_H_Tiramisu	A tome with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_Dango	Confectioknife
MIID_H_Dango	A knife with a sweet scent.\nDisappears when consumed as an\nitem, but recovers user's HP.
MIID_Cupcake	Treat
MIID_H_Cupcake	A staff with a sweet scent.\nRecovers an ally's HP.
MIID_Rollcake	Scrollcake
MIID_H_Rollcake	A martial skill scroll with a sweet\nscent. Disappears when consumed\nas an item, but recovers user's HP.
MIID_Bullet_Power	Standard Blast
MIID_H_Bullet_Power	Standard cannonball. Cannot follow\nup. Reduced Hit for distant targets.
MIID_Bullet_Magic	Magic Blast
MIID_H_Bullet_Magic	Cannonball infused with magic.\nCannot follow up. Reduced Hit for\ndistant targets.
MIID_Bullet_Freeze	Freeze Blast
MIID_H_Bullet_Freeze	Magic cannonball with a 50% chance\nto freeze target. Cannot follow up.\nReduced Hit for distant targets.
MIID_Bullet_Silence	Silence Blast
MIID_H_Bullet_Silence	Magic cannonball with a 50% chance \nto silence target. Cannot follow up.\nReduced Hit for distant targets.
MIID_Bullet_Collapse	Break Blast
MIID_H_Bullet_Collapse	Magic cannonball with 50% chance\nof breaking target. Cannot follow up.\nReduced Hit for distant targets.
MIID_Bullet_Poison	Venom Blast
MIID_H_Bullet_Poison	Magic cannonball that inflicts deadly\npoison on hit. Cannot follow up.\nReduced Hit for distant targets.
MIID_Bullet_Slayer_Fly	Tornado Blast
MIID_H_Bullet_Slayer_Fly	Wind magic cannonball. Cannot\nfollow up. Reduced Hit for distant\ntargets. Effective: Flying.
MIID_Bullet_Slayer_Armor	Armor Blast
MIID_H_Bullet_Slayer_Armor	Cannonball for armored foes. Cannot\nfollow up. Reduced Hit for distant\ntargets. Effective: Armored.
MIID_Bullet_Slayer_Horse	Rider Blast
MIID_H_Bullet_Slayer_Horse	Cannonball for cavalry foes. Cannot\nfollow up. Reduced Hit for distant\ntargets. Effective: Cavalry.
MIID_Bullet_Slayer_Dragon	Wyrm Blast
MIID_H_Bullet_Slayer_Dragon	Cannonball for dragon foes. Cannot\nfollow up. Reduced Hit for distant\ntargets. Effective: Dragon.
MIID_Bullet_Slayer_Morph	Holy Blast
MIID_H_Bullet_Slayer_Morph	Cannonball for the Corrupted.\nCannot follow up. Reduced Hit for\ndistant targets. Effective: Corrupted.
MIID_Bullet_Power+	Mighty Blast
MIID_H_Bullet_Power+	High-powered cannonball. Cannot\nfollow up. Reduced Hit for distant\ntargets.
MIID_Bullet_Magic+	Eldritch Blast
MIID_H_Bullet_Magic+	Cannonball infused with powerful\nmagic. Cannot follow up. Reduced\nHit for distant targets.
MIID_Bullet_Penetration	Piercing Blast
MIID_H_Bullet_Penetration	Cannonball that ignores Def/Res.\nCannot follow up. Reduced Hit for\ndistant targets.
MIID_Fang	Fangs
MIID_H_Fang	Sharp, cursed fangs. If user initiates\ncombat and hits, inflicts max HP-5\non foe after combat. (Stacks to -20.)
MIID_Veronica_Hlidskjalf	Hliðskjálf 
MIID_H_Veronica_Hlidskjalf	A staff wielded by Emblem Veronica.\nIf user initiates combat, foe cannot\ncounterattack.
MIID_Veronica_WholeHeal	Fortify+
MIID_H_Veronica_WholeHeal	A staff wielded by Emblem Veronica.\nHeals HP and status effects for all\nallies within a 7-space radius.
MIID_Veronica_Elivagar	Élivágar
MIID_H_Veronica_Elivagar	Powerful magic wielded by Emblem\nVeronica. Nullifies basic stat bonuses\non target for 1 turn after combat.
MIID_Veronica_EngageAtk_R	Red Stone
MIID_Veronica_EngageAtk_B	Blue Stone
MIID_Veronica_EngageAtk_G	Green Stone
MIID_Veronica_EngageAtk_N	Colorless Stone
MIID_Chrom_ThunderSword	Levin Sword
MIID_H_Chrom_ThunderSword	Magic sword wielded by Emblem\nRobin. Can hit foes with magic\nlightning from a distance.
MIID_Chrom_Thoron	Thoron
MIID_H_Chrom_Thoron	Powerful lightning magic wielded\nby Emblem Robin.
MIID_Chrom_Falchion	Falchion
MIID_H_Chrom_Falchion	A legendary sword wielded by\nEmblem Chrom. Effective: Dragon.
MSID_SPConvert	SP Conversion
MSID_H_SPConvert	Grants +20 SP for each defeated\nfoe. Triggers even without a ring or\nbracelet equipped.
MSID_BloodyRevenge	Reprisal
MSID_H_BloodyRevenge	If unit's HP is not full, adds 30% of\nlost HP to Atk.
MSID_BloodyRevenge+	Reprisal+
MSID_H_BloodyRevenge+	If unit's HP is not full, adds 50% of\nlost HP to Atk.
MSID_BreakThroughLimit	Level Boost
MSID_H_BreakThroughLimit	When unit defeats a foe of a higher\nlevel, grants Lvl+1 until the end of\nbattle. (Max +3)
MSID_AnotherWorldsPower	Book of Worlds
MSID_H_AnotherWorldsPower	Book of Worlds advances 1 stage (to\nmax 5) for each consecutive round\nthat unit uses Wait. Reverts to base\nstage if unit triggers the effect.
MSID_AnotherWorldsPower+1	Book I: Seal
MSID_H_AnotherWorldsPower+1	If unit initiates combat, freezes foe\nafter combat.
MSID_AnotherWorldsPower+2	Book II: Flame
MSID_H_AnotherWorldsPower+2	If unit initiates combat, freezes foe\nand sets foe's space on fire after\ncombat.
MSID_AnotherWorldsPower+3	Book III: Death
MSID_H_AnotherWorldsPower+3	If unit initiates combat, deals 10\ndamage, freezes foe, and sets foe's\nspace on fire after combat.
MSID_AnotherWorldsPower+4	Book IV: Dream
MSID_H_AnotherWorldsPower+4	If unit initiates combat, restores HP\nequal to damage dealt during\ncombat, then deals 10 damage,\nfreezes foe, and sets foe's space on\nfire after combat.
MSID_AnotherWorldsPower+5	Book V: Science
MSID_H_AnotherWorldsPower+5	If unit initiates combat, restores HP\nto self and adjacent allies equal to\ndamage dealt during combat, then\ndeals 10 damage, freezes foe, and\nsets foe's space on fire after combat.
MSID_VeronicaEngage	Contract
MSID_H_VeronicaEngage	Use to grant another action to an\nadjacent ally who has already acted.\n(Ally cannot move.)
MSID_H_VeronicaEngage_CMD	Allows an ally to act again.\n(Cannot move.)
MSID_H_VeronicaEngage_Dragon	Use to grant another action to an\nadjacent ally who has already acted.\n(Ally cannot move.)\n[Dragon] Grants Str/Mag/Def/Res+2\nto ally during action.
MSID_H_VeronicaEngage_Coop	Use to grant another action to an\nadjacent ally who has already acted.\n(Ally cannot move.)\n[Backup] Unit participates in chain\nattack during ally action.
MSID_H_VeronicaEngage_Covert	Use to grant another action to an\nadjacent ally who has already acted.\n(Ally cannot move.)\n[Covert] Grants Hit/Avo+30 to ally\nduring action.
MSID_VeronicaEngageAtk	Summon Hero
MSID_H_VeronicaEngageAtk	Use to summon a random unit.
MSID_H_VeronicaEngageAtk_CMD	Summons a random unit.
MSID_VeronicaEngageAtk_CMD_R	\x0E\x08\x02\x12\x10RedStone Red
MSID_H_VeronicaEngageAtk_CMD_R	Summon a sword-wielding\nunit.
MSID_VeronicaEngageAtk_CMD_B	\x0E\x08\x02\x14\x12BlueStone Blue
MSID_H_VeronicaEngageAtk_CMD_B	Summon a lance-wielding\nunit.
MSID_VeronicaEngageAtk_CMD_G	\x0E\x08\x02\x16\x14GreenStone Green
MSID_H_VeronicaEngageAtk_CMD_G	Summon an axe-wielding\nunit.
MSID_VeronicaEngageAtk_CMD_W	\x0E\x08\x02\x16\x14WhiteStone Colorless
