MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, you still haven't taken a break?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nWell...no. I was still organizing the weapons.\nI'm almost finished.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nYou know, you can reach out to me at any time.\nI'd be happy to help you.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	All of these things you've been noticing and\ntaking care of for us have been really helpful.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm doing this because I want to. By the way,\nyou were wonderful in battle today, Divine One.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	The bravery you show protecting your friends\nis inspiring, but all that effort requires rest too.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nThank you. I'll get plenty of food and rest. You\ndon't need to worry about me.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Speaking of food, wasn't today's meal so good?\nThat vegetable soup was delicious.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, that does sound lovely.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nSorry, I didn't realize you hadn't eaten. I'm sure\nthere's still some left if you want to go now.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nNo need to apologize. I got busy and forgot. The\nlast time I sat down for a proper meal was, uh...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Huh... A few days ago, I think.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nWhat?! You need a proper sit-down meal.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nMeals take time, but I do snack a lot. There's\njust so much I want to do for everyone.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nThat's no good. You're coming with\nme, Zelestia!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nUm, where are we going?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nYou have to eat properly if you're going to have\nenough energy for all this activity.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	I'll be watching to see that you take time to sit\ndown and eat more.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, I brought you today's lunch. Though\nit's a little late to call it lunch now.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, thank you, Divine One. I lost track of time\nvisiting with everyone, and it slipped my mind.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nThe same way it slipped your mind yesterday,\nas I recall.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nWell, I...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nI can't believe you'd miss all the best meals if I\ndidn't keep track! It's a good thing I noticed.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nI thought all dragons were like this, but maybe\nit's just me, heh.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	I've been trying to pay attention, but I get so\ndistracted by everyone else.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	If someone's in trouble, I want to help them.\nAnd if someone's worried, I want to listen.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	The other day, I was helping someone move\nsome heavy items. Before I knew it, it was dark.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nNot again.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nI know. I'll just...eat what you brought me\nright now.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Hehehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nWhat's funny?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm so happy to be sitting here with you,\nDivine One. Even if I am the only one eating.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	It isn't just my stomach that's filling up, but my\nheart as well.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Oh! Divine One, this soup is delicious! Please,\ntry a sip.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nThank you, but I already had lunch. Besides,\nI brought this for you.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nYou don't need to hold back. I wouldn't want to\nkeep something so delightful all to myself.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Here. Say "aaah..."\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nCome on now. Aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nUm...if you insist. Aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nHm-hm! How is it? Isn't it wonderful?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nUm, y-yes. Very...delicious.\x0E\x04\x00\x00
