MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nThank you for the hope you showed me back\nthen. If not for you, I might have given up.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ルキナ\nI only gave you a small push. You'll be carving\nyour own future for yourself.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nI worry sometimes if we're really capable of\nwinning this war.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ルキナ\nI know things can seem bleak. But as long as\nyou hold out hope, you can drive the dark away.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nLong ago, I was driven from my home. But I'd\nhave died if I stayed. All would have been lost.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nI see what you mean. Sometimes you have to\nwithdraw... But did you win in the end?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルキナ\nYes. I made a new future, and you can too.\nSo never give up until your last breath.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nUnderstood. Then no matter how hard things\nget, I'll believe that they'll turn out for the best.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nI've heard you're a knitting expert. I'm terrible\nwith any delicate work, so consider me envious.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHeh. Most are surprised that a man as large as I\nis capable of something so...delicate.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nWith knitting, you can make sweaters. Like, say,\none with a big picture of your face.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nI... I mean... Yes. But I am not so sure who\nwould willingly wear such a garment.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nWatching you knit, I am reminded of my mother\nknitting when I was little.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh? She must have been a spectacular woman.\nBy the by, the sweater you asked for...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nThe one adorned with my visage? It is finished.\nWho shall I give it to?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ルキナ\nOh, splendid! I imagine the Divine Dragon will\nlove it. I can't think of a better gift!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nIs it true you're Lord Marth's blood relative?\nI didn't know Emblems could be related.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06ルキナ\nYes, I am his descendant. So I try to show that\nI'm worthy of that lineage.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nI'm like you and Lord Marth! Us "Stewards of\nthe Dragon" serve generation after generation.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ルキナ\nThat means your ancestors must have fought\nbeside the Divine Dragon a thousand years ago.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nI've been thinking about family trees and how,\neven after I'm gone, my line will go on and on.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ルキナ\nThe stewards will too. You'll be part of their\nhistory, and they'll strive to be as heroic as you.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMuch as I tried to become someone King Marth\nwould be proud of.\x0E\x04\x00\x00
