MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nWhat is this place, Lucina? I feel a magical\npower here.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ルキナ\nThis appears very similar to Arena Ferox.\nMost curious.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nFerox? That's a place from your world, right?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ルキナ\nYes. Ferox is a kingdom divided by east and\nwest, with a militaristic khan overseeing each.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ルキナ\nEvery so many years, a fighting tournament is\nheld to determine which khan will rule them all.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ルキナ\nArena Ferox is where I crossed swords with\nmy father.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nHe taught you swordsmanship, yes? It must\nhave been an interesting, if fierce, bout.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ルキナ\nYes. It was a hard fight. He had no idea who\nI was and held nothing back.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ルキナ\nHe'd trained me well, but that fight was when I\nfirst saw just how strong my father really was.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ルキナ\nThat must be precisely why this familiar place\nwas chosen as a trial ground.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nTrial ground? What does that mean?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ルキナ\nWe each feel the extraordinary power here.\nTell me what it feels like, deep down.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nIt's almost like I'm sensing your power...but also\nlike you're far away.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ルキナ\nWell then, draw your weapon. Fight me. If you\npass the trial, our bond will grow stronger.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06ルキナ\nWith a stronger bond, you will be able to draw\nupon more of my power as an Emblem.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nI hope I can learn as much in this arena as\nyou did.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06ルキナ\nThat's good to hear. However...\x0E\x04\x00\x00
