MID_MAP_HIS_PhaseBegin_Player	Began player phase.
MID_MAP_HIS_PhaseBegin_Enemy	Began enemy phase.
MID_MAP_HIS_PhaseBegin_Ally	Began ally phase.
MID_MAP_HIS_Fixed	\x0E\x01\x00\x00 waited.
MID_MAP_HIS_Talk	\x0E\x01\x00\x00 talked.
MID_MAP_HIS_Attack	\x0E\x01\x00\x00 attacked.
MID_MAP_HIS_Rod	\x0E\x01\x00\x00 used a staff.
MID_MAP_HIS_EngageCharge	\x0E\x01\x00\x00 used Great Aether.
MID_MAP_HIS_Destroy	\x0E\x01\x00\x00 destroyed something.
MID_MAP_HIS_ItemUse	\x0E\x01\x00\x00 used an item.
MID_MAP_HIS_Trade	\x0E\x01\x00\x00 traded item(s).
MID_MAP_HIS_PutOff	\x0E\x01\x00\x00 discarded item(s).
MID_MAP_HIS_Visit	\x0E\x01\x00\x00 visited.
MID_MAP_HIS_Breakdown	\x0E\x01\x00\x00 seized something.
MID_MAP_HIS_Escape	\x0E\x01\x00\x00 escaped.
MID_MAP_HIS_Door	\x0E\x01\x00\x00 opened a door.
MID_MAP_HIS_Torch_Off	\x0E\x01\x00\x00 put out a beacon.
MID_MAP_HIS_Torch_On	\x0E\x01\x00\x00 lit a beacon.
MID_MAP_HIS_TreasureBox	\x0E\x01\x00\x00 opened a chest.
MID_MAP_HIS_Transporter	\x0E\x01\x00\x00 used the convoy.
MID_MAP_HIS_Dance	\x0E\x01\x00\x00 danced.
MID_MAP_HIS_Guard	\x0E\x01\x00\x00 used Chain Guard.
MID_MAP_HIS_LucinaEngage	\x0E\x01\x00\x00 used Bonded Shield.
MID_MAP_HIS_OverlapSkill	\x0E\x01\x00\x00 used Dragon Vein.
MID_MAP_HIS_CommandSkill	\x0E\x01\x00\x00 used \x0E\x01\x01\x00.
MID_MAP_HIS_VisionCreate	\x0E\x01\x00\x00 called illusory doubles.
MID_MAP_HIS_VisionDelete	\x0E\x01\x00\x00 dispelled illusory doubles.
MID_MAP_HIS_DestroyVillage	\x0E\x01\x00\x00 destroyed a house.
MID_MAP_HIS_EngageBreak	\x0E\x01\x00\x00 used Disengage.
MID_MAP_HIS_EngageAttack	\x0E\x01\x00\x00 used \x0E\x01\x01\x00.
MID_MAP_HIS_PickUp	\x0E\x01\x00\x00 acted
