MID_WU_C_1_IN_#001	Yoo-hoo, I'm here.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	You're awake!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Aww, I bet you sensed my presence!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Sound asleep, huh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	I know that sleepy face so well.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	But ya better wake up soon...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	or it's tickle time!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	The Divine Dragon is awaaake!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Haha, feeling a bit of déjà vu?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Well, good morning!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Heya, Divine One! Oopsie, you're asleep.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Aww, you're up.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	It's just, you look so relaxed when you sleep.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	You must be tired.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Wish I could let ya sleep.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	But no can do.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Divine One!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Arise, O Divine One!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Aww, I'm kidding. I'm no good at\nsounding proper.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	The Divine One looks so dignified! Gah! Dial\ndown the enthusiasm, Framme.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	I'm sorry! I meant to come in quietly.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	On my honor as your biggest fan, I promise\nI'll keep it down from now on.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Sorry I made a racket while you were training.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	I wasn't trying to be a distraction.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	I'm such a big fan, I just can't help myself.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	What?! You're awake?!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ahem. Good morning! Nothing noisy\nhappening here.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Oof. Being quiet is not easy.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Guess who did a bunch of cleaning! Oh, oops!\nThe Divine Dragon's asleep...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Gah! I woke you up! Sorry.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Just wanted to let you know the Somniel is\nsparkly clean!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	I should wait till you're up...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Or I could clean up in here a bit too.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Throw out the trash, do a little dusting...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Oh no! The vase!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Sorry!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	I can fix it. I swear.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	At least the rest of the Somniel is nice\nand clean.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Never fear! The co-president of the Divine\nDragon Fan Club is here!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	You're up! Good morning!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	You are so good at waking up!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	The best waker-upper in all of Elyos!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	I'm so happy you want me to cheer for\nyou again.\x0E\x04\x00\x00
