MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou have considerable strength, Roy. It's no\nwonder they gave you to Brodia to keep safe.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x06\x04ロイ\nYou flatter me. I'm just happy to be working\nwith you now to bring about peace.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nYou've improved a great deal. You've got the\nmakings of a very promising warrior.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nYou know, I never truly felt that way until I\nheard it from you.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nYou know what I like about you? The way you\nnever give up, no matter how dire things get.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04ロイ\nWhen I see people who need help, I feel that\nI have to do all I can for them. That's all it is.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nNot everyone feels that way, though. It's an\noutlook I could always learn from.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04ロイ\nIf you admire that way of thinking, you already\nhave it. I'm happy to call you an ally.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Roy, I would most appreciate an opportunity\nto learn more about the Emblems' abilities.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04ロイ\nOf course. I'd be glad for the chance to learn\nfrom you as well, Sir Vander.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nI finished a bit of lacework that I thought you\nmight find appealing.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x06\x04ロイ\nIt's quite beautiful. I really like it! Perhaps we\ncould place it in the Ring Chamber.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nI see you're knitting. Is this how you made the\nlacework you showed me before?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIndeed. Knitting beautiful patterns like these\nrequires subtle technique and a delicate touch.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nMore importantly, it calms the heart. There is\nnothing else I would rather do after a battle.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04ロイ\nWell then, I'm intrigued. I hope you'll show me\nmore of your creations.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nYou've been here at the Somniel for a long time.\nCan you tell me more about this place, Clanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nTell you about... That is─ Yes, of course!\nOh, wow, Lord Roy asked me for something!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nUm... Lord Roy? I was wondering... Would you\nlike to join our Divine Dragon fan club?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04ロイ\nWell, first I need you to explain what a\n"fan club" is, and then I'll let you know.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Roy... Do you think I'm becoming strong\nenough to protect the Divine Dragon?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x06\x04ロイ\nOf course. Every time I fight beside you, I see\nyou grow stronger.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nLord Roy thinks I'm strong! Oh my gosh. I'm so\nhappy I might faint!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x06\x04ロイ\nWork hard, and you'll get even stronger. That\nsounds like a Divine Dragon Fan Club slogan.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nIf you and I combined our strength, Lord Roy,\nno one could possibly beat us. So, let's do it!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04ロイ\nI like the confidence, Framme. Just never let\nyour guard down, all right?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nFramme, that food you're always carrying\naround... What is it?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nBeets! They're super-duper nutritious, and\nthey're my very favorite.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nSo many folks are stronger than I am, Lord Roy.\nWhat if I can't protect the Divine Dragon?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04ロイ\nYou are strong, Framme, and you are very good\nat taking care of the Divine One.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04ロイ\nBesides, there are some things only you can do.\nYour enthusiastic support is a powerful thing.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nOK! I'm gonna put all I've got into protecting\nthe Divine Dragon. Just you wait and see!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nOur allies in Brodia were sitting on a pretty\npowerful Emblem. Can't wait to work with you.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04ロイ\nYou seem like a worthy ally yourself. I'm eager\nto fight by your side.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nAlfred? Do you need something? I can feel you\nstaring a hole in me.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nI can't help it─you've got some serious muscle!\nI have to know what your workouts are like.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nUp and at 'em, Roy! It's dawn─the perfect time\nfor a workout.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04ロイ\nI admire your enthusiasm, but don't you think\nthis is a little early?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNonsense. The early bird catches the worm, and\nour muscles are ready to feast!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x06\x04ロイ\nI'm not sure that's true, but you're the expert.\nLet's get to work!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nブシュロン\nSo, you came out of this ring? Huh, feels like\nwonders never cease.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04ロイ\nThat's how an Emblem works. Anyway, I'm\nglad to get to know another ally.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nYou like reading, don't you? Are there any\nbooks you'd recommend?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, you're a reader too? Now, let's see... I could\nmaybe narrow it down to 50 or so good ones.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nThat was a close call when we got separated\nfrom everyone, huh?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nI could swear we'd gone in a straight line, but\nbefore I knew it, we were lost in the woods.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nGood thing you were there to point out the\nroad. I don't know what I'd do without you.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x06\x04ロイ\nIt was no problem. I'll guide you down whatever\npath you want, Boucheron.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nYou're always so confident, Etie. Doesn't\nanything worry you at all?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nDoes worrying solve anything? No. Plus, I have\nexercise to clear my mind when I start to doubt.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nDid you pick these flowers? They're beautiful.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nThanks. They bloom all over my hometown.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nYou seem pleased, Etie. Did you get some\ngood news?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNo, I got some good meat. Nothing but the best\nfood for my muscles!\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x06\x04ロイ\nMeat's how you help build muscle, huh?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nObviously my weight training and daily runs\nplayed a part. Speaking of which, be back soon!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWe shall be leaning heavily on your might in our\nquest for peace.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04ロイ\nIt's a cause I'm happy to fight for. And you're\nan ally I'm happy to have.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHey, Céline. Do I smell a new type of tea?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nYes, I've come into some new leaves. Shall we\nenjoy their fragrance together?\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nYou're more than a fighter. You're an excellent\nstrategist and commander too. Most impressive.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04ロイ\nI had to study hard to be a successful lord.\nI was schooled at the largest city in my nation.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nI've had an eclectic education, but you are proof\nthere are gaps in my lessons.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x06\x04ロイ\nWell, experience counts for a lot too. There's\nno classroom like the battlefield.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ルイ\nDo you know what I noticed, Roy? Both our\nnames are vowels bookended by consonants.\x0E\x04\x00\x00
