MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDo you wish to remain innocent, holding fast to\nthe teachings you follow?\x0E\x04\x02\x00
MID_OP1_#002	Or will you seize victory, your hands stained\nwith the blood of old friends?\x0E\x04\x02\x00
MID_OP1_#003	The most unbearable pain is now a fond\nmemory, a desperate dream.\x0E\x04\x02\x00
MID_OP1_#004	But I know the truth.\x0E\x04\x02\x00
MID_OP1_#005	In this world, there is no eternity. Now is the\ntime to awaken.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x14\x12E005_Boss\nI am reminded of when we were young.\x0E\x04\x02\x00
MID_OP2_#002	You always slept deeper and later than me.\nI would anxiously wait for you to awaken.\x0E\x04\x02\x00
MID_OP2_#003	Outside, the world was full of foes. I could do\nnothing on my own.\x0E\x04\x02\x00
MID_OP2_#004	I could not transform, no matter how I wished\nfor it. I was a powerless whelp. A failure.\x0E\x04\x02\x00
MID_OP2_#005	I was convinced I would not survive long.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0EE006_エル\nYou had...so little hope.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12E005_Boss\nYou are awake. I would advise you not to\nconsider transforming and fleeing.\x0E\x04\x02\x00
MID_OP2_#008	You will lose any part of you that moves from\nthat spot.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x10\x0EE006_エル\nPlease stop this, Nil.\x0E\x04\x02\x00
MID_OP2_#010	There is no reason to pursue power here.\nYou cannot rule an empty world.\x0E\x04\x02\x00
MID_OP2_#011	You and I are all that remain.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12E005_Boss\nPower is purpose.\x0E\x04\x02\x00
MID_OP2_#013	This world means nothing to me. If it must be\ndestroyed to achieve my ends, then so be it.\x0E\x04\x02\x00
MID_OP2_#014	But you would not understand that. You know\nnothing of weakness. Of humiliation.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE006_エル\nThat is all in the past. Your friends love you.\x0E\x04\x02\x00
MID_OP2_#016	Think of our time at Lythos Castle. All of us\ntogether, as a family.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x14\x12E005_Boss\nThinking of that age of lies fills me with nothing\nbut resentment.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x10\x0EE006_エル\nYou cannot mean that.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x14\x12E005_Boss\nIt is amusing to hear you say we were a family.\nThe irony is so delicious, I simply must share.\x0E\x04\x02\x00
MID_OP2_#020	I am not your twin brother.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x14\x12E005_Boss\nI took the place of young Nil when he and I\nwere children.\x0E\x04\x02\x00
MID_OP2_#023	Your precious twin? The one you so yearned to\nprotect that you fled our father and risked all?\x0E\x04\x02\x00
MID_OP2_#024	He has been dead for quite some time.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
