MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nAs a fellow dragon, I'm happy to put my power\ntoward helping you end this war.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nWith you by my side, I feel at ease. Indeed,\nlet us work together to bring about peace.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x06\x04エル\nI would like to know more about you, Corrin.\nI understand you have many siblings.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06カムイ\nOh, I'd love to tell you all about them. But you'll\nhave to tell me some of your stories too.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nI hear you risked your life for the sake of your\nbrother. I did something very similar once.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nRafal is precious to me. I wanted to protect him.\nAbove all, I wanted him to feel accepted.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カムイ\nI felt the same. I also felt the need to accept all\nthe consequences of the path I'd chosen.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nMuch occurred between you and your siblings\nfrom the sound of it. You must tell me more.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nSo you possess the blood of the First Dragons.\nI look forward to seeing your prowess in battle.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カムイ\nYou also possess the power of dragons, right?\nI'm glad to have a fellow dragon around.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nI have heard you can also transform into a\ndragon. Intriguing. You must surely be powerful.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06カムイ\nI'm afraid I can't show you here, but yes.\nTraining as dragons might make for good sport.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIs it true that you wanted to be the best among\nyour siblings? Why? Did you crave power?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nI was once weak. In order to earn my father's\nrespect, I knew I must become the strongest.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nThat wish never came true. Ironic that I find\nmyself fighting my father's counterpart here.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06カムイ\nI know how it feels to stand against a father\nfigure. I'm here if things ever get too tough.\x0E\x04\x00\x00
