MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nThis top is so cute, I can't even handle it.\nOoh, and that red skirt is really chic!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh no. This place has accessories too? Well,\ngoodbye, money. It was nice knowing you.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nTell me about it. I have to stop myself from\nsnapping up everything in the store.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nPrincess Timerra! What are you doing here?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nShopping. Why? Is that weird?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nOh, uh, no! I just would have assumed you had\npeople to do that for you.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nI like to go shopping on my own. Incognito.\nThat way I can try on clothes, see what fits.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nWow, I love that! It's almost like you're a\nreal person.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nHehe! Hehe, thanks! I think!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nGotta say, Framme. You've got style.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nYour color scheme is elegant, yet eye-catching.\nThe ribbons add a touch of flair.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nAnd don't get me started on that skirt.\nIt's completely, unequivocally you!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nYou really think so? I'm honored.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nI spent a long time on this look. Took me a\nwhile to nail down the right ensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nTrust me, I know the feeling. It's hard to find a\nperfect balance between form and function.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nExactly! I want something that's both practical\nand cute as heck. Is that so much to ask?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nHehe, you're speaking my language.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nI can't believe I'm talking fashion with Princess\nTimerra! It's like a dream come true.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nミスティラ\nHey, I've got an idea. Why don't you pick out\nclothes for me some time?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06フラン\nReally? Really?! REALLY?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nミスティラ\nReally. And I'll pick something out for you too.\nWe'll get all dressed up!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06フラン\nThat sounds so fun!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nミスティラ\nIt's settled, then!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nI can't wait to put together the perfect outfit\nfor you.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nミスティラ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Stylish clothes for you and me!\nIt's like furniture for your body!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nThat's a fun song, Princess Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nThat's 'cause I'm having fun! It's exciting to\npick out someone else's clothes for a change.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nGot yours ready to go?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nYup! I'm all set.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nMe too! OK, without any further ado...\nShow me what you picked out!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nBrace yourself. I selected, just for you...\nthis cute frilly dress!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nAaah! I love it!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nI knew you would. Come on and feel this fabric.\nIt's nice and thick.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nOh, uh. It is?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nYup. All your clothes are so light, I figured you\nmight like something a little warmer.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nHow, uh...thoughtful of you...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nWhat is it?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nHuh? Oh, sorry. I love it, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nNow, ready to see what I chose for you?\nTa-da! It's a scarlet robe!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nIt's so cute!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nYeah? I added some flashy accessories to make\nthat distinctive dye in the robe really pop.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nI love it. This is exactly my color. It looks nice\nand breathable too.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nHehe, right? I thought something nice and\nlightweight would suit you.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nWait. Oh, shoot!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nWhat's wrong?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nI just remembered a thing I gotta get to.\nPrincess business. You know how it is.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nSorry, Framme. I'll make it up to you─I promise!\x0E\x04\x00\x00
