MAID_LueurWearM	Divine Attire
MAID_H_LueurWearM	Everyday outfit reserved specially for the Divine Dragon's child.\nSpecially tailored to fit perfectly.
MAID_LueurWearF	Divine Attire
MAID_H_LueurWearF	Everyday outfit reserved specially for the Divine Dragon's child.\nSpecially tailored to fit perfectly.
MAID_VandrWear	Formal Attire
MAID_H_VandrWear	Everyday outfit worn by Vander, 32nd Steward of the Dragon.\nHe's rumored to have several identical uniforms just like it.
MAID_FramWear	Crimson Garb
MAID_H_FramWear	Everyday outfit of Framme, 33rd Steward of the Dragon. Has a special\npocket in the outer layer to hide emergency snacks.
MAID_ClanWear	Celadon Garb
MAID_H_ClanWear	Everyday outfit of Clanne, 33rd Steward of the Dragon. Has a special\npocket in the outer layer to hide emergency snacks.
MAID_AlfredWear	Floral Regalia
MAID_H_AlfredWear	Everyday outfit of Alfred, crown prince of Firene. Made for ease of\nmovement, and includes a fresh flower from Firene pinned to the breast.
MAID_BoucheronWear	Durable Shirt
MAID_H_BoucheronWear	Everyday outfit of Boucheron, Prince Alfred's retainer. The buttons seem\nto be on the verge of snapping off, but they've held out this long.
MAID_EtieWear	Frilly Blouse
MAID_H_EtieWear	Everyday outfit of Etie, Prince Alfred's retainer. Marked by the frills on\nthe sleeves and skirt. The design on the hem matches her battle outfit.
MAID_CelineWear	Teatime Garb
MAID_H_CelineWear	Everyday outfit of Céline, princess of Firene. The ribbons provide the\nperfect touch of elegance for teatime, and the jewel is the color of honey.
MAID_LouisWear	Knight's Vest
MAID_H_LouisWear	Everyday outfit of Louis, Princess Céline's retainer. The sleeves are made\nto be rolled up, allowing him to offer perfect service at a moment's notice.
MAID_ChloeWear	Pegasus Dress
MAID_H_ChloeWear	Everyday outfit of Chloé, Princess Céline's retainer. Though she often\nwears it to visit food stalls, she takes care not to dirty it when she eats.
MAID_DiamandWear	Ember Outfit
MAID_H_DiamandWear	Everyday outfit of Diamant, crown prince of Brodia. It is made from\nmaterial that can withstand virtually anything in case of emergencies.
MAID_UmberWear	Alpaca Jacket
MAID_H_UmberWear	Everyday outfit of Amber, Prince Diamant's retainer. The embroidery on\nthe back and breast is modeled after the alpacas of his hometown.
MAID_JadeWear	Author's Garb
MAID_H_JadeWear	Everyday outfit of Jade, Prince Diamant's retainer. The outfit is easy to\nmove around in and supported by a sturdy leather belt for posture.
MAID_StalukeWear	Ashen Outfit
