MID_WU_C_1_IN_#001	Morning!\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	Lady Anna's here to wake you up bright\nand early!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	You're awake already? That was quick!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	So quick, in fact, I have to wonder...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Do you really even need someone to come by\nand wake you up?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Still snoozing, huh?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Say, if you're weak to mornings, does that make\nyou strong against nights?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	And if nights are weak to you...does that make\nthem strong against mornings?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	There's a triangle here. I can feel it.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Hey, Divine One!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	If you need some effectiveness against morning,\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	I'd recommend trying the special weapon of\nearly bedtime.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Good luck!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Lady Anna's wake-up service has arrived!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Morning, Divine One!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Did I do a good job?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	If you're happy with the service...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	please recommend it to your friends!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Still asleep?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	That won't do.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Luckily I've got just the thing.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Introducing the wake-up plushie!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	Put it out like this, set the timer...and get ready\nfor a horrible noise!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	You're awake!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	My products never fail.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	I'm gonna sell so many of these.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Um...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	As soon as I get them to stop breaking on the\nfirst use.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Hey, get up! It's time for the festival!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ha! My plan worked flawlessly!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	There's no festival here today...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	but back home there's a festival every day. So I\ndidn't lie to you!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Not easily fooled, are you?\x0E\x04\x00\x00
