MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Rosado! You're looking cute, as always.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nThanks so much, Prince Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nI'm getting cuter by the day─at this rate,\nI'm pretty sure I'll be gorgeous forever!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nHaha, no doubt about it. I'd bet your cuteness\nstretches on in perpetuity.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nHmm... You really think so? I dunno, you're not\nexactly selling it.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nI don't feel a ton of heart behind those words.\nThey seem a little empty.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nHow hurtful. I'll have you know, I am nothing if\nnot sincere.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nYeah? Prove it. Tell me how adorable I am.\nSay it like you mean it and I'll believe you!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nAll right. You are... How to put it? As lovely as\na delicate blossom in a Solmic Oasis.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nThat's a little better. So, am I the cutest you've\never seen?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nHm? Oh, no. Definitely not.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nWhat?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nI'm sorry, WHAT?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nYou know... I just remembered something I have\nto do. Prince business. See you around!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08ロサード\nHey, wait a second! What do you mean,\n"definitely not"?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nHow am I not the cutest?! Prince Fogado,\ncome back!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08ロサード\nHi, Prince Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nHey, Rosado! The sun stays shining, and you\nstay cute.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nThat's right! I'm always cute, aren't I? I'm even\ncuter than last time you saw me, aren't I?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nAgreed, and your confidence really heightens it.\x0E\x04\x00\x00
