MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn the deepest darkness of solitude, would you\ndesire to make the light your own?\x0E\x04\x02\x00
MID_OP1_#002	Would you answer the stranger calling for you\nfrom beyond a closed door?\x0E\x04\x02\x00
MID_OP1_#003	Their voice is despairing; their message, bleak.\nNews of gleaming ore turned dark as night.\x0E\x04\x02\x00
MID_OP1_#004	But what does it matter? One knows the truth.\x0E\x04\x02\x00
MID_OP1_#005	In this world, there is no compassion. My pain\ndoes not exist here.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x10\x0EE003_イル\nWe've walked quite a long way now.\nIs everyone feeling all right?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16E003_セレスティア\nNaturally. Though no doubt it would be easier if\nI were riding my wyvern.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWe're going to Brodia, right? Why aren't we\ntaking the road?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE003_エル\nBrodia is widely known for its hatred of war.\nWe would not be permitted to cross the border.\x0E\x04\x02\x00
MID_OP2_#005	And their border security is tighter than that of\nany other nation. So we must enter covertly.\x0E\x04\x02\x00
MID_OP2_#006	But more to the point, we are no longer going\nto Brodia. We are already there.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nHuh?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE003_エル\nWe crossed into Brodia already. We have been\nwithin its borders for some time.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nAnd you didn't think to mention that sooner?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE003_エル\nI was unaware it was so important. I hope you\ncan still reschedule the parade.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nI'm just saying that allies should keep each\nother informed.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nShhh. Quiet, you two. Someone's here.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x10\x0EE003_エル\nWe cannot have been discovered already.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nThere they are!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE003_イル\nWait, Divine One!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Unknown\n\x0E\x03\x02\x16\x14E003_グレゴリー\nStop, please! Don't hurt me!\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nYou...know each other?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E003_セレスティア\nIndeed. Gregory is one of the Four Winds,\nlike me.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nI'm not familiar.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x18\x16E003_セレスティア\nWe are a small band of knights established after\nthe war to protect Lady Nel and Lord Nil.\x0E\x04\x02\x00
MID_OP2_#022	As the name implies, the "Four Winds" is\ncomposed of four members.\x0E\x04\x02\x00
MID_OP2_#023	Gregory here included.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x10\x0EE003_エル\nI directed him to gather information for us,\nsame as Zelestia.\x0E\x04\x02\x00
MID_OP2_#025	Thank you for your dutiful work, Gregory. But\nwe did plan to meet some distance from here.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Gregory\n\x0E\x03\x02\x16\x14E003_グレゴリー\nRight, about that... I got turned around and\ndidn't think I could find our spot.\x0E\x04\x02\x00
MID_OP2_#027	Wasn't sure what to do, so I headed back to\nthe border. I'm so grateful I found you.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x10\x0EE003_エル\nBefore you give us your report, there is\nsomething that you should know.\x0E\x04\x02\x00
MID_OP2_#029	This individual here is─\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nNot the Divine Dragon we know. Right?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE003_エル\nCorrect.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x16\x14E003_グレゴリー\nSo I'm guessing the ritual worked, and you\nsummoned this one from elsewhere.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x10\x0EE003_エル\nIndeed. That spares me the work of explanation.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE003_イル\nAmazing, Gregory! How did you figure all of\nthat out?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nNot sure, exactly. Something about this one\nseems...scary, I guess.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nProbably the fact I almost attacked you.\nSorry about that.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo, that's not it. You're just different from the\nDivine Dragon I knew.\x0E\x04\x02\x00
MID_OP2_#038	I'm not talking appearances, either. It's like your\nessence is...off. I'm not making any sense, am I?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory's sense of caution is sharp. He may be\nattuned to differences others don't notice.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nI see...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nThat's OK. So long as you aren't a threat,\nI'm sure I'll get used to you.\x0E\x04\x02\x00
MID_OP2_#042	Oh, and sorry if I'm not addressing you formally\nenough. Always been bad at that etiquette stuff.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nI don't mind. Please, feel free to speak casually.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE003_イル\nIt's all right, Gregory. The Divine Dragon has\nproven to be a good person, full of kindness.\x0E\x04\x02\x00
MID_OP2_#045	That's right, Divine One. I quite like you.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nThanks, Nil. I like you too.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x10\x0EE003_エル\n...\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x0A\x08リュール\nYou said the Four Winds were four knights.\nWhere are the other two, then?\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x10\x0EE003_エル\nThey are embedded in the remaining nations,\ngathering intelligence there.\x0E\x04\x02\x00
MID_OP2_#050	As Zelestia took Firene, and Gregory Brodia,\nthe other two are assigned to Elusia and Solm.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nI'm the leader of our little group.\x0E\x04\x02\x00
MID_OP2_#052	I'll admit it, the name Zelestia of the Four Winds\ncarries weight. I'm a fairly renowned general.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nEither that, or you're so loud that people have\nno choice but to know your name.\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nWhat did you say?!\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJust joking! C'mon, no need for violence!\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08リュール\nWhat was that?!\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x10\x0EE003_イル\nAre we under attack?!\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x16\x14E003_グレゴリー\nHaha, looks like my pursuers found us... Sorry,\nI really thought I'd lost them.\x0E\x04\x00\x00
MID_OP2_#059	\x0E\x03\x02\x10\x0EE003_エル\nExplain, Gregory.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x16\x14E003_グレゴリー\nOh, um...I was spotted? While scouting? I ran\nfor my life, but, hah...I guess they followed.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x10\x0EE003_イル\nOne, two, three─ Ugh, no use counting. The\nenemy outnumbers us, and easily.\x0E\x04\x02\x00
MID_OP2_#062	We should run.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nBut wait. Why not fight them off?\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x10\x0EE003_エル\nIf they are pursuing us, then they are border\nguards or knights. They will not have a bracelet.\x0E\x04\x02\x00
MID_OP2_#065	A fight will exhaust us without any gain.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x16\x14E003_グレゴリー\nYou wanna run? I'm your man. This way,\neveryone. Follow me!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nWe should be safe here. Let's just hide out\nfor a bit.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x10\x0EE003_イル\nAh... That reminds me, Divine One...\x0E\x04\x02\x00
MID_OP3_#003	While I see that you prefer to fight, we are\naccustomed to being on the defensive.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nI noticed. You choose your battles.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E003_グレゴリー\nOf course. How do you think we managed to\nsurvive this long?\x0E\x04\x02\x00
MID_OP3_#006	Not by fighting bravely every time someone\ncomes after us, but by running away.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE003_エル\nBeyond operations to place the Emblems into\nslumber, we are in no position to attack anyone.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nPerhaps if the Four Winds were equal to other\nnations' knightly orders, it would be different.\x0E\x04\x02\x00
MID_OP3_#009	But alas, we're not. I fear we are something of\na disappointment.\x0E\x04\x00\x00
