MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincess Céline! Did you do something with\nyour hair? It's looking even flowier than usual.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nGood day, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nI'll say. Any day I see you is a good one.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nNothing, huh?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIf I reacted to every bit of flattery that spilt from\nyour mouth, we'd be here all day.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nFlattery? Me? I wouldn't dream of it.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nHey, I know! We should have tea together.\nYou like tea, don't you?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIndeed, I do!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nBeing royals of Solm and Firene, I think it's\nimportant we get to know each other.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nTalk about different values and whatnot.\nCould be beneficial for both of us.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nHaha, spoken like the prince of a nation\nobsessed with trade.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nNothing wrong with a little give and take.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nForgive me, but I must decline for now.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nThe Firenese lifestyle is more pastoral. We lack\nyour taste for intrigue and risk.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nYou make tea with me sound like some kind of\nbig adventure.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nQuite a dangerous one, yes. Good day,\nPrince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x02\x0C\nフォガート\nAnd just like that, she's gone. Guess this'll take\nsome doing.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nThen again, what did I expect? She is\nfrom Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nWell hello, Princess Céline. You're looking\ngorgeous as ever.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nThank you, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nSo? What do you say? Want to have that cup\nof tea? It's time we got to know each other.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nHmm. Is that wise?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nOh, come on. You're still mulling it over?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nI guess you can't help being closed off. You are\nFirenese, after all.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAs I said, we have a distaste for risk.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nYeah, but it's not just that.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nOh? What else?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nFirene's farming industry is so robust, you don't\nneed to keep reserves, let alone import goods.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nAnd that's a good thing, don't get me wrong.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nBut self-sufficiency has made you folks a bit\nunsociable, if you ask me.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nフォガート\nYour gates are shut so tight, they might as well\nbe walls.\x0E\x04\x00\x00
