MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nDon't go thinking I'm some wishy-washy noble.\nI'm stronger than I look.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nI never thought you seemed weak to begin with.\nI'd be nowhere without you, Lyn!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nThis is a good world. Though it makes me miss\nthe green, rolling plains of my home.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nThey sound beautiful. It would be nice if I could\nsee them for myself someday.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nYou look tired. If there's something dragging\nyou down, you can tell me. I'm a good listener.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nI still hesitate sometimes in battle because I'm\nso inexperienced.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nThen I second-guess myself afterward, thinking\nof all the things I should have done instead.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04リン\nDon't worry about making mistakes. You have\nfriends─and me─to guide you through them.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIt is wonderful to see you full of energy, yet I\nfear you may catch cold in such light clothes.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04リン\nNo, Vander, I'm fine. I've always worn... Now\nthat you mention it, can Emblems catch a cold?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nIt seems like you'd get tired standing up so\nstraight all the time. Relax! Smile!\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSo be it, I shall indulge you. Behold. A smile.\nHow is that? Better than you expected?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSuch times are these. Queen Lumera, gone; the\nDivine Dragon, awake; and Lady Lyn beside me.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLife does as it will. I am but a passenger on\nthis journey.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x06\x04リン\nA thousand years ago, I never imagined I'd be\nawakened from the ring again.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04リン\nI think you're right. We're passengers, but we're\nalso constantly blessed with new experiences.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nClanne, you look sad. Are your chores getting\nto you?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nNope, I love doing chores for the Divine Dragon.\nIn fact, I'm worried I might run out.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nYou look a little down. Is there something you'd\nlike to talk about?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nI miss my parents. Is that weird? Right now\nshould be a happy time, not a sad one.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nI was born on the plains, and I've always missed\nthem since I left.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nYou get that way too? Wow, I do feel better.\nI thought I might be pathetic.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04リン\nNo, it just means we love where we came from.\nWhen you can, go and visit your parents.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nMaybe I will. Right now, though, I can't imagine\nbeing away from the Divine Dragon.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nYou're such a huge help to the Divine Dragon.\nAlmost as much as me. Almost.\x0E\x04\x00\x00
