MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, I have a question. How does a knight\nfrom the kingdom of Brodia train?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nWhy do you want to know about that?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nTo be honest, I've always admired Brodian\nknights, and I'm just curious...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nYour country is called the kingdom of warriors,\nso your training methods must be extraordinary.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nWe do crank out a lot of strong warriors, but\nI think that's due to the terrain...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nMost of Brodia is just cliffs and ravines. It's not\ngreat for traditional farming, y'know?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nThe focus in many villages is on mining and\nsuch, so folks tend to grow sturdy and strong.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nI see! So strength training is just part of daily\nlife, then?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nFor most people, yeah! I grew up on an alpaca\nranch, so my daily chores were a bit different.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nAlpacas?! Those rare critters of notoriety?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nThat's fantastic! I adore critters with all my\nheart─rare ones especially!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nIf you worked on a ranch, you must know all\nabout them. Please, tell me what you know!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nWell, first off, alpacas are super fluffy... But\nalso? They're really cute.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nThere is a lot of spitting, though. You have to\nwatch out for that.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nSpitting?! Magnificent! I'm sure I wouldn't\nmind alpaca spit one bit.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nTrust me, you would. It takes forever to get\nthe smell out of your clothes. Or hair.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nI don't mean to brag, but I've become an expert\nalpaca-spit dodger.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nHah! Hoowah! That's just a couple of your basic\nspit-evasion moves...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nWha─ Ah! AAH!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nAw, why do rocks always sabotage my\ncool moves?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06メリン\nI'd expect nothing less from a Brodian knight!\nVery impressive.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アンバー\nHuh?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nBrodian knights aren't just strong, they're spry\nenough to pull off a pratfall. Well played!\x0E\x04\x00\x00
