MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nI fight to save the world that my mother loved.\nBut I'll need your help, Leif.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06リーフ\nIf it can bring about the peace you desire so\nstrongly, then my sword arm is yours!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nIt's hard knowing that my mother loved me so\nmuch, but I can never repay her kindness.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06リーフ\nIt is enough that you express those feelings.\nSomewhere, your mother is surely listening.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nAm I doing enough in your opinion, Leif? I feel\nlike everyone expects so much of me...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06リーフ\nIt is hard to bear such a burden on your own.\nFocus not on your failings, but your strengths.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nMy strengths?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06リーフ\nPeople believe in you. They follow you. Show\nthem a path to peace, and they will walk it.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Leif, please, would you offer some guidance\nto the Divine Dragon? It seems needed.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06リーフ\nGladly. If I can help, I will do so.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nThe Divine Dragon's sometimes-reckless\nbehavior can put quite a fright in me.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06リーフ\nUnderstandable, though danger is a fact of life.\nIt's our job to keep that danger in check.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nI see an old friend when I look at you. Sadly, his\ndeath was a result of my carelessness.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x08\x06リーフ\nHe sacrificed everything to fulfill my wishes.\nAnd I could give him nothing in return...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nI do not know this person, but I imagine they\nwere proud to have served you.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nTo have someone in their life who was both lord\nand friend? A rare blessing indeed.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Leif, do you have any suggestions for how\nto be someone the Divine Dragon can rely on?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06リーフ\nI think you have more to teach me in that\nrespect than I have to offer you.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nClanne, you are busy as ever today. Is all of\nyour effort in the name of the Divine Dragon?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nYes! It takes a lot of work to make sure the\nDivine Dragon gets enough rest.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nI heard Framme using a word─"venerable."\nIt means more than simply being "likable," yes?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nTrue. It's a bit more than just being likable.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nIt's more like saying you respect somebody\nbecause they're full of wisdom.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06リーフ\nI see. There are truly strong feelings attached to\nthe word. I shall try to use it sometime soon.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou look as if you are deep in concentration.\nWhatever could have you so preoccupied?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nI'm making an outfit to celebrate how great the\nDivine Dragon is!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou are training again today, Framme? Your\ntireless efforts are most impressive!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nI gotta be in tip-top shape for praying to the\nDivine One. My prayers are very athletic.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06フラン\nOK, what we do now is wait at that corner for\nthe Divine One to pass by.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nYes. The line of sight seems like it'd be perfect.\nIs it really OK to bring you along for this stuff?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06リーフ\nOf course! I asked you to, remember? I enjoy\nlearning about your unusual style of worship.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06リーフ\nThey're coming. Let's go, Framme. It will be the\nbest angle to see from, do you agree?\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNng, ngh, hyah... Another solid morning's\ntraining done with!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06リーフ\nHow driven he must be to begin his training so\nearly in the morning! I must follow his example.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhy are you staring so intently at your arm?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJust checking in with my body. My arms say\neverything's A-OK! How about you, Leif?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI hide it well, but I was a pretty sickly kid. My\nmother was always worried about my health.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06リーフ\nIt is your intense training that has brought you\nyour current, robust health, I take it?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo doubt. I took it seriously and never missed\na single workout session.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06リーフ\nI could learn a lot from your dedication and how\nyou overcome your problems without giving up.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nBoucheron? What are you doing here?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nThe horse I was using as a landmark ran off.\nCould you tell me the way back to the prince?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHave you lost your way again? Alfred was\nlooking for you.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSo I keep hearing. If he doesn't stay put, we\nmight be going in circles like this forever.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nブシュロン\nYou're not busy today, are you, Leif? Want to\ncome fishing with me?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06リーフ\nA fine idea. The weather is perfect for it.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06リーフ\nAnd you shall need me along to prevent you\nfrom becoming lost on the way.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nHahaha, guilty as charged. Whether in or out of\nbattle, I'd always be lost without you.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nEtie, are you all right?! I heard an unearthly\nnoise.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nSorry about that! I was training a little too hard\nand accidentally took out a wall.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nエーティエ\nYou look a little nervous. You know what helps\nwith that? Weight training!\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06リーフ\nI may as well. I doubt I can develop any muscle,\nbut it should be invigorating anyway.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nSeeing the things you put yourself through in\nthe name of training is rather daunting.\x0E\x04\x00\x00
