MID_SYS_EnchantEffect	Enchant Effect
MID_DLC_News_Patch1_Title	Ver. 1.2.0
MID_DLC_News_Patch1	Expansion Pass\n\n・ Emblems Hector, Soren, and Camilla have been added.\n  They will each join your group when their respective\n  Divine Paralogues have been cleared.\n\n・ Expansion Pass Bonus 2 has been added. If you have\n  purchased the Expansion Pass, you will receive some\n  materials, weapons, and skill books.\n\n・ New accessories have been added to the boutique.\n  These include the spirit set, spirit mask, spirit ears,\n  dog ears, bunny ears, and fox ears.\n\nFree Content\n\n・ Recreation spots have been added to the Somniel.\n  Use them to increase support points among allies.
MID_MSG_GET_ITEM_DLC_Accessory2	Expansion Pass Bonus 2 received.
MCID_G002_PREFIX	Divine Paralogue
MCID_G002	The Brash General
MCID_G002_PLACE	Berserker's Hollow
MCID_G002_OUTLINE	A bracelet has been sighted in a\ndank cave filled with miasma.
MCID_G004_PREFIX	Divine Paralogue
MCID_G004	The Radiant Strategist
MCID_G004_PLACE	Magma Cavern
MCID_G004_OUTLINE	A bracelet has been sighted in\na cavern of molten lava.
MCID_G005_PREFIX	Divine Paralogue
MCID_G005	The Doting Sister
MCID_G005_PLACE	Underground Passage
MCID_G005_OUTLINE	A bracelet has been sighted in a\nsunken underground ruin.
MID_RULE_G002_WIN	Defeat Emblem Hector.
MID_RULE_G004_WIN	Defeat Emblem Soren.
MID_RULE_G005_WIN	Defeat Emblem Camilla.
MTID_VolcanicBombTraces	Magma Crater
MTID_Fumarole	Vent
MTID_Crater	Crater
MPID_Hector	Hector
MPID_H_Hector	Known as the Emblem of Strength.\nAn exuberant, heroic young man,\nbrimming with confidence.
MPID_Senerio	Soren
MPID_H_Senerio	Known as the Emblem of Acumen.\nA black-clad strategist of reserved,\nsound judgment.
MPID_Camilla	Camilla
MPID_H_Camilla	Known as the Emblem of Revelation.\nA beautiful wyvern rider with a\ncaptivating aura.
MGID_Hector	Hector
MGID_H_Hector	Known as the Emblem of Strength.\nWipes out enemies with his axe and\nrisks his life for his friends.
MGID_H_EnemyHector	An Emblem that awakened from the\nBracelet of the Brash General.
MGID_Senerio	Soren
MGID_H_Senerio	Known as the Emblem of Acumen.\nExcels with magic and the use of\npowerful tomes.
MGID_H_EnemySenerio	An Emblem that awakened from the\nBracelet of the Strategist.
MGID_Camilla	Camilla
MGID_H_Camilla	Known as the Emblem of Revelation.\nFlies through the air and buries foes\nwith her axe and tomes.
MGID_H_EnemyCamilla	An Emblem that awakened from the\nBracelet of the Doting Sister.
MGEID_Hector	Strength
MGEID_Senerio	Acumen
MGEID_Camilla	Revelation
MJID_Enchant	Enchanter
MJID_H_Enchant	A combat medic who skillfully uses\nitems for combat. Can use convoy,\nand excels at ally-support tactics.
MIID_Hector_WolfBeil	Wolf Beil
MIID_H_Hector_WolfBeil	Axe wielded by Emblem Hector.\nEffective: Cavalry, Armored.
MIID_Hector_Runesword	Runesword
MIID_H_Hector_Runesword	Magic sword of Emblem Hector.\nCan strike close or at range. Restore\nHP equal to 50% of damage dealt. 
MIID_Hector_Armads	Armads
MIID_H_Hector_Armads	Lightning-charged axe wielded by\nEmblem Hector. Grants Def+5.\nEffective: Dragon.
MIID_Senerio_Thunderstorm	Bolting
MIID_H_Senerio_Thunderstorm	Long-range thunder magic wielded\nby Emblem Soren. Cannot follow up.
MIID_Senerio_MagicShield	Reflect
MIID_H_Senerio_MagicShield	Staff of Emblem Soren. Allies within\n2 spaces gain "deals 50% of magic\ndamage taken back to foe" for 1 turn.
MIID_Senerio_Rexcalibur	Rexcalibur
MIID_H_Senerio_Rexcalibur	Powerful wind magic wielded by\nEmblem Soren.\nEffective: Flying.
MIID_Senerio_Disaster	Cataclysm
MIID_H_Senerio_Disaster	Magic wielded by Emblem Soren.\nFire, thunder, & wind attacks at 40%\ndamage. Wind is effective: Flying.
MIID_Camilla_BoltAxe	Bolt Axe
MIID_H_Camilla_BoltAxe	Magic axe wielded by Emblem\nCamilla. Can strike close or at range.
MIID_Camilla_Lightning	Lightning
MIID_H_Camilla_Lightning	Magic wielded by Emblem Camilla.\nIf user initiates combat, attacks\ntwice.
MIID_Camilla_Camilla'sAxe	Camilla's Axe
MIID_H_Camilla_Camilla'sAxe	Axe wielded by Emblem Camilla.\nGrants Res+10 and deals extra\ndamage = foe's Res-Def.
MIID_HE_Vulnerary	Recovers 15 HP for unit and allies\nwithin 2 spaces.
MIID_HE_Antidote	Heals status effects for unit and\nadjacent allies.
MIID_HE_Medicine	Fills unit and adjacent allies' engage\nmeters by 2.
MIID_HE_HolyWater	Grants Effective: Corrupted to unit\nand adjacent allies for 1 turn.
MIID_HE_Torch	Grants the "Torch" effect to unit and\nadjacent allies. (Illuminate a 7-space\nradius. Shrinks one space per turn.)
MIID_HE_HpTonic	Raises max HP relative to level and\ngrants "negate chain-attack damage"\nto unit and adjacent allies for 1 turn.
MIID_HE_StrTonic	Raises Str relative to level and grants\n"reduce weapon weight by 50%" to\nunit and adjacent allies for 1 turn.
MIID_HE_TecTonic	Raises Dex relative to level and\ngrants immunity to break on unit\nand adjacent allies for 1 turn.
MIID_HE_SpdTonic	Raises Spd relative to level and\ngrants immunity to freeze on unit\nand adjacent allies for 1 turn.
MIID_HE_LckTonic	Grants "30% chance to ignore\ndamage" to unit and adjacent\nallies for 1 turn.
MIID_HE_DefTonic	Grants "reflect physical damage\ntaken" to unit and adjacent allies\nfor 1 turn.
MIID_HE_MagTonic	Raises Mag relative to level and\ngrants immunity to silence on unit\nand adjacent allies for 1 turn.
MIID_HE_MdefTonic	Grants "reflect magic damage taken"\nto unit and adjacent allies for 1 turn.
MIID_HE_Bento	Grants "guarantee survival with 1 HP\nif HP is 2 or more at start of combat\n(once)" to an adjacent ally.
MIID_HE_WeaponAvo	Grants Avo+20 to weapons of the\nsame name for the duration of\nthe battle.
MIID_HE_WeaponDef	Grants Def/Res+5 to weapons of the\nsame name for the duration of\nthe battle.
MIID_HE_WeaponCrit	Grants Crit+20 to weapons of the\nsame name for the duration of\nthe battle.
