MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHello, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI heard you're good with fish. Is that true?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nYep. You heard right.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nBeen fishing ever since my dad first took me out\non the water. Been cooking 'em about as long.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nIf it's got gills or flippers or tentacles, I can\ncook it to your preference.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI see. Even uncommon ingredients like squid\nor octopus are within your purview, then.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nThey sure are! I once caught this massive thing.\nA real whopper. Don't even know what it was.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nBut that didn't stop us from cutting it up and\nmaking a huge feast for the whole village.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThat is quite a story. You must be exceptionally\nskilled.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThat is why I must destroy you utterly.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nWhoa, hey! Why the hostility?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm sorry, Saphir, but there is only room for one\nperfect chef here.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI challenge you to a singular contest of\nculinary skill.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nYou mean, like...a cook-off?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThat's right. We'll showcase our talents and let\nothers decide which of us is superior.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nSure, I guess this might as well happen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGood. I will tell you when and where as soon as\nit is decided. Be ready to cook some seafood.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAnd look forward to being ground into dust\nand used for seasoning.\x0E\x04\x00\x00
