MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nYou journeyed across worlds for the sake of\nstrangers? You are a peculiar one.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nYou are as severe as ever, Emblem Soren.\nI came here for the sake of the Divine Dragon.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04エル\nIt seems I have been rude to the Divine Dragon\nagain, despite my best efforts.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nHow is it you manage to keep repeating\nthe same mistake?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nIf you ever want to be close with the Divine\nDragon, consider your words more carefully.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nI am well aware that I should. And yet I continue\nto fail at it, despite my awareness.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nI suppose you do not understand how it feels\nfor your words not to match your intent.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nI don't. But if you want my opinion, you should\njust be honest and direct about your emotions.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nI had thought Nel and I would be done with\nall this by now. And yet here we are.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIndeed. I'm sure your presence will continue to\nimprove this army's results.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nYou always seem to be alone. I suppose that is\na consequence of your brusque demeanor.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf you have attention to spare for others, why\nnot focus it on your friends?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nWhy do you stare at me? Do you crave my\nattention so desperately?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nI knew someone like you...with black wings...\nHe wasn't the type I'd want as a friend either.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nHow rare for you to speak of yourself! You have\nmanaged to pique my curiosity. Do go on.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIt's nothing. Forget it.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOnce again, a pleasure to meet you. I remember\nfeeling a kinship with you. Why would that be?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nWho knows? It may be all in your head.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nYour power is still great, Soren. Though I am a\nMage Dragon, my magic is weak. I envy you.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nIs that so? I never asked for this power.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSoren... About our earlier conversation...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nI barely know you, but still I coveted your\npower. I'm sorry. What I said was insensitive.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nIt's fine. I take back what I said about not\nwanting it.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nThis power helped me find a place in the world.\nWithout it, that wish would not have come true.\x0E\x04\x00\x00
