MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, do you have a moment?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nSure.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nAbout that sparring match just now. I feel like\nyour attitude needs...adjusting.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nA sparring match isn't a fight to the death.\nBut you went right for my throat back there.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nI'd like it if you slowed things down a bit.\nTry being a bit more...sporting.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nWhat? No, sorry, but that's ridiculous. I'm not\ngonna do that.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nExcuse me?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nMerrin, I know you think it's super stylish to\npause for a monologue in the middle of a fight.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nBut if you're gonna do that, you might as well\npoint to your kidneys and ask for a shanking.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nWith me, the worst you get is a bump on the\nnoggin. A real enemy would eviscerate you.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nI know that! I just wanted to test out a bit of\nverbal repartee.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nTest it for what? If it's no good in an actual\nengagement then what good is it?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nI get it, I do. But what's wrong with a bit of\nverbal jousting during sparring matches?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nDropping a catchphrase during combat spices\nthings up. A mid-battle monologue sounds cool.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nJust do what you need to do after I'm done\ntalking. We're allies, after all.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nNo. It's a bad habit to make light of combat.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nI thought for sure you'd understand that, seeing\nas you're a knight. Guess I was mistaken.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nIf that's all, I'll be going.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nCome on, Yunaka. You're right, of course, I just\nwanted to have a bit of...fun.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nAh... Well, that should do nicely.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nHey. What are you up to?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nOh, hello. Just taking care of some weapon\nmaintenance.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nAh! That's, uh... That's quite an interesting\nscimitar you've got there!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nI bought it at a curio shop. It is pretty cool,\nisn't it?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nUnderstatement of the century! That weapon's\na masterpiece! A work of art!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nLook at the curve─so smooth, so steady!\nThat's traditional Solmic craftsmanship! \x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nLook at the edge! Only Solmic blades combine\nrich majestic history with deadly killing power!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nHuh, I guess I didn't realize. You know, you\ngot pretty excited there all of a sudden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nIf you like it that much, maybe I'll give it to you.\nI'm not even using it really.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nAre you serious?! What an incredible gift!\nI'll happily take it off your hands! Give it here!\x0E\x04\x00\x00
