MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCan I speak with you for a minute?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nWhat do you need?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNothing per se. I just thought it might be nice\nto chat a little.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Your voice and mannerisms... They remind me\nso much of the Mauvier that I knew.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nWhy are you crying?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm sorry. I just... I really wanted to apologize...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nWhat for?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nFor letting you die! You were like family to me!\x0E\x04\x02\x00
MID_RELIANCE_C_#010	If only I had pushed myself a little harder back\nthen. If only I hadn't left you alone!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Look at me.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nYes...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nI cannot accept your apology.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nI am not the aggrieved party. The words have\nno meaning to me.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	I may have the same face as your former ally,\nbut we are not the same person.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nYou're right. I apologize for acting foolishly.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	You're just so much like him. It's hard not to\nfeel as though he's back.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nI will admit to experiencing similar thoughts\nwhen we first met.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nYour name is also Mauvier, is it not?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nYes.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nI imagine you already know, but I'm Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_C_#024	If it's all right with you, I'd like for us to\nbe friends.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06モーヴ\nVery well, Zelestia. I look forward to working\nwith you.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nLikewise, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nAre you on break as well? Do you mind if I\njoin you?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nBy all means.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nYou are staring at me.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nI apologize. It's just so wonderful to be able to\nspend time with you like this.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nHm... Is it.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nDon't worry. I'm not confusing you for the\nMauvier I knew before.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	It's just...really nice to spend time with a\nnew friend.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nI see. Even so, I will admit to some curiosity.\nWhat was my analogue like?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nThe Mauvier I knew was the one who started\nthe Four Winds.\x0E\x04\x02\x00
