MID_WU_C_1_IN_#001	It is morning!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	You are awake.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Let us break our fasts!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	That did not wake you? Your sleeping skill\nis strong.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	But this is it for you, I am afraid.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Your sleep ends now. Prepare yourself.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	WAKE UP!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	You are up!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Now break your fast.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	I recommend miso soup.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	And rice, of course.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Make ready!\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Kagetsu himself has arrived to wake you!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Good morning! Or is it evening?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Hah!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	I seem to be in need of my own wakeup visit!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Sorry to be late.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	I overslept!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	It is evening.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	I hope you had nothing important to do!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	I see my future...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Vander is scolding me.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	That is best avoided! I must go!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	How long will you sleep, Divine One? It is\nalready past noon!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	I knew that would wake you.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	You fell for my cunning plot!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Time is flying, Divine One! Hurry!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	You must break your fast!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	You are missing every mealtime!\x0E\x04\x00\x00
