MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0E\x08ヘクトル\x023\n\x0E\x03\x02\x06\x04チキ\nLook! There's another bracelet friend right over\nhere, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nYou're right. Is this the Bracelet of the\nBrash General?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04チキ\nYes! I think the Emblem is asleep, just as I was.\nWill you wake him up?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nThe words came to me as soon as I laid eyes\non it. Let's give them a try.\x0E\x04\x02\x00
MID_OP1_#005	Embolden us, Emblem of Strength!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nAhh, what a refreshing rest. Hey there, I'm\nHector. Was it you who woke me up?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nYes, it was. Greetings, Hector. I'm the Divine\nDragon \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヘクトル\nGood to meet you. Phew, it sure is nice to move\naround again!\x0E\x04\x02\x00
MID_OP2_#004	You must have had a reason to come looking\nfor me, though.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nThis world is engulfed in a terrible war.\nWe're trying to put a stop to it.\x0E\x04\x02\x00
MID_OP2_#006	To that end, we were hoping you might lend\nus your strength.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08ヘクトル\nHmm. Well, I've got a good feeling about you.\nLooks like you've got grit, just like he did.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nMay I ask who you're talking about?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08ヘクトル\nMy good friend Eliwood.\x0E\x04\x02\x00
MID_OP2_#010	In my world, he fought to bring us back from\nthe brink of disaster. Like you're doing.\x0E\x04\x02\x00
MID_OP2_#011	Our fight was against a rotten bunch called the\nBlack Fang. They were a real handful.\x0E\x04\x02\x00
MID_OP2_#012	For Eliwood, Lyn, and me, and all our other\nfriends, it was the fight of our lives.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nThey must have been glad to have someone like\nyou on their side.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08ヘクトル\nAhem... Well, no need to butter me up. You need\nhelp, and that's enough for me.\x0E\x04\x02\x00
