MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh, um, why are you looking at me like that?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nI'm just so curious...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nCurious? About what?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nIt's so...modest.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nI... I don't understand.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nYou're a princess, yet there isn't a single bit of\njewelry or finery on you.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nYour outfit is just so...modest!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nWhat does it matter to you? It just... It wasn't\nmy fate to have lots of fancy things, I guess.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nOf course. I understand.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nAnd yet─oh, how shall I put this... I feel a deep\nneed to coax your inner royal out from hiding.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nI'm sorry if my...plainness...bothers you.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nOh my. I apologize, Lady Veyle. I hope you\nknow that I meant no offense.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nJust rest easy and leave everything to me.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nLeave everything... Wait, what do you mean?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nLet's see... I suppose it would be wise to start\nwith the base garments.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nOh, but a person's style is directly influenced\nby their lifestyle, so perhaps... Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0A\x08ヴェイル\nWhat does that mean? Aw, I'm not sure I want\nto find out.\x0E\x04\x00\x00
