MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nOn a battlefield far from all you know, how will\nyou prove your bravery?\x0E\x04\x02\x00
MID_OP1_#002	In the savage garden of blood and steel, who\nwill meet their end?\x0E\x04\x02\x00
MID_OP1_#003	Cast the four thrones to fire. Lay seven flames\nin the cradle.\x0E\x04\x02\x00
MID_OP1_#004	But there is one who knows the truth.\x0E\x04\x02\x00
MID_OP1_#005	In this world, there is no future. My lonely heart\ndoes not beat here.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_イル\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nHere we are, Divine One. Welcome to the\nkingdom of Firene!\x0E\x04\x02\x00
MID_OP2_#002	Haha, it may not be my place to say that, as a\nvisitor here myself. But I felt someone ought to.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nIt's strange... Just like Lythos Castle, this place\nfeels familiar but...not.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE002_エル\nIf we are finished discussing the scenery, allow\nme to remind you of the task that lies before us.\x0E\x04\x02\x00
MID_OP2_#005	We are to go to Firene Castle and acquire the\nBracelet of the Brash General.\x0E\x04\x02\x00
MID_OP2_#006	And time is of the essence. We must collect all\nseven bracelets before our enemy does.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x10\x0EE002_イル\nI hope the royal family is willing to hand theirs\nover, but I do have my doubts.\x0E\x04\x02\x00
MID_OP2_#008	You know how ill-tempered the Firenese can be.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nWhat? The people I know from Firene are\ngood-natured and peaceful.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE002_イル\nIs that so? In this world, they are vengeful and\nquick to violence─the royal family most of all.\x0E\x04\x02\x00
MID_OP2_#011	That made them useful allies in wartime, despite\ntheir disdain for Fell Dragons.\x0E\x04\x02\x00
MID_OP2_#012	But ever since the Divine Dragon's death, they\nhave completely avoided visiting us in Lythos.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nAnd who is the ruler here? Queen Ève?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x10\x0EE002_エル\nNo. She died at the start of the last war.\x0E\x04\x02\x00
MID_OP2_#015	And her throne remained empty until after the\nwar ended, when King Alfred took her place.\x0E\x04\x02\x00
MID_OP2_#016	But as Nil said, he subsequently cut ties with\nus. We were forced to take precautions.\x0E\x04\x02\x00
MID_OP2_#017	So we asked a trusted friend to be our eyes and\nears in Firene.\x0E\x04\x02\x00
MID_OP2_#018	She is due to meet us here shortly.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x06\x002\x16E002_セレスティア\x18MPID_Unknown\n\x0E\x03\x02\x18\x16E002_セレスティア\nLady Nel, Lord Nil! Hello, hello!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x10\x0EE002_エル\nZelestia. We were just talking about you.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x004\x16E002_セレスティア\x1AMPID_Selestia\n\x0E\x03\x02\x18\x16E002_セレスティア\nI've been eagerly awaiting your arrival.\nYou must be so tired after that long trek.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x10\x0EE002_エル\nA trifle compared to your intelligence work\nhere, I am sure.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x18\x16E002_セレスティア\nOh, that was nothing, Lady Nel.\x0E\x04\x02\x00
MID_OP2_#025	But who's this you brought with you?\x0E\x04\x02\x00
MID_OP2_#026	Oh! How is it you remind me so much of the\nDivine Dragon \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nAh... Actually...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nGlorious day! Divine One, you've been reborn!\x0E\x04\x02\x00
MID_OP2_#029	I knew you could never leave us! Not\npermanently, anyway. Haha!\x0E\x04\x02\x00
MID_OP2_#030	It's so obvious! How could I ever believe\nSombron bested the Divine Dragon Monarch?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE002_イル\nZelestia, as much as I hate to let you down,\nthis is not who you think it is.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nSorry for the confusion... I'm actually the\nDivine Dragon of another world.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x18\x16E002_セレスティア\nWhat?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE002_エル\nWe should have let you know sooner. This is not\nthe old friend you and I knew.\x0E\x04\x02\x00
MID_OP2_#035	Rather, this is the savior whom Nil and I\nsummoned with an ancient ritual.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x10\x0EE002_イル\nThis Divine Dragon arrived in the castle\nsanctuary after your departure to Firene.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x18\x16E002_セレスティア\nI... I see.\x0E\x04\x02\x00
