MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Lindon! My sister's asking for you.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, thank you, Princess Hortensia. So sorry to\nhave made you fetch me like this.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nThat's OK─I had a thing to do and you were on\nthe way. Oh, that's a pretty painting!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nThe lady's beautiful... Is she your daughter?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nThis lovely painting is of my even lovelier wife.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nYeah, she's a vision. You're a lucky guy!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nIf she were here now, I'm sure she would be\ndelighted to hear you say so.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nYou'll have to introduce us next time she's\naround. I'd love to meet her.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nUnfortunately, that will not be possible...\nShe passed away some time ago.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh... Oh no. I had no idea. I'm so sorry.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nHm-hm, it's quite all right, Princess Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nWe raised three children together. They're all\ngrown now, off living lives of their own.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nI've had mages to train and keep me company,\nand I'm sure she's at peace in the hereafter.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nYou've accomplished so much. I'm sure if she\nwere here, she'd say she's very proud.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nSay, Lindon... Would you consider giving me\nsome lessons? I could learn a lot from you.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nI'm flattered that you would suggest the idea...\nbut I think it best for us both that I decline.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nHow come?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nI simply don't have the stamina to\nteach anymore.\x0E\x04\x00\x00
