MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nYour disposition is softer and more elegant than\nmine. Perhaps I should learn from you.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nエイリーク\nJust go on being yourself, Nel. I am not doing\nanything special.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nI do not enjoy fighting, if I am honest. I only\ndo it to secure us all a better future.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nYour distaste for fighting exemplifies your\nkindness. Your motive to fight, all the more.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nI must admit that your gentle disposition initially\nworried me. I thought you would be easily hurt.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nBut I see now why the little ones revere you,\nEirika. Your heart is both warm and strong.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nエイリーク\nYou humble me, but if I have left such an\nimpression on you, then I am grateful for it.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nエイリーク\nI appreciate your empathy, and how fiercely you\nprotect your loved ones. I am glad to know you.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nYou... You are quite the enigma. You fight so\nfiercely, yet appear so weak.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nエイリーク\nShould I...take that as a compliment?\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nAlthough my brother and I are rarely together,\nI sometimes feel like he's watching over me.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nHe sounds like quite a dutiful brother. I wonder\nif my sister has ever thought the same of me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nDid you ever dislike your brother? I once hated\nmy sister, though that is in the past now.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMy brother used to tease me, but that never\nchanged my love for him.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIf you are worried about Lady Nel, you should\nsimply talk to her. She is your family, after all.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nThankfully, we fight no longer. But I will come\nto you should something else bother me.\x0E\x04\x00\x00
