MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa! Hyah! Hup!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nThat was a bit better than yesterday...but still\nfar from acceptable.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nCitrinne? What are you doing up so late?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAh!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis. You frightened me.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nIf you must know, I was just...brushing up on\nmy ballroom dancing.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nHmm. You're not a very good liar. I could see\nyou using magic. Are you training in secret?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nYou found me out.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nWorking this late can't be good for your health.\nYou should really get some sleep soon.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nI appreciate your concern, Lapis, but...I can't\nlet myself rest.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nYou can't?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nIf I had your strength, I might not have to train\nmyself well into the small hours of the night.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nBut...things are different for me. I must, must,\nmust grow stronger.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nOh. Citrinne, that's...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nDon't stay up for my sake. I promise to rest as\nwell, but only after I've done enough for tonight.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nJust don't push yourself too hard, OK? G'night.\x0E\x04\x00\x00
