MID_Movie_S02	A Past Battle
MID_H_Movie_S02	Divine Dragon \x0E\x06\x03\x00 dashes\nacross a battlefield. Allies and Emblems\nhelp clear the way to the final battle.
MID_Movie_S03	Emblem Engage!
MID_H_Movie_S03	Emblem Marth and \x0E\x06\x03\x00\nengage, merging themselves and\ntheir power to defeat the enemy.
MID_Movie_S04	Summoning the Hero-King
MID_H_Movie_S04	As blue light shines from the ring, the\nswordsman from \x0E\x06\x03\x00's dream\nappears. He calls himself Emblem Marth.
MID_Movie_S05	The Divine Dragon Monarch
MID_H_Movie_S05	Nearly overwhelmed by enemy numbers,\n\x0E\x06\x03\x00 is saved by a white\ndragon, who then takes human form.
MID_Movie_S06	The Tale of Elyos
MID_H_Movie_S06	On the way to Lythos Castle, Lumera\ntells \x0E\x06\x03\x00 about Elyos and\nEmblems.
MID_Movie_S07	Crimson Memories
MID_H_Movie_S07	A memory of a red-haired warrior\nstanding in a burning castle, who smiles\nominously when questioned by Lumera.
MID_Movie_S08	Alfred
MID_H_Movie_S08	Lythos Castle is under attack by\nenemies unknown. Crown Prince Alfred\nof Firene arrives just in time to assist.
MID_Movie_S09	The Queen Falls
MID_H_Movie_S09	An enemy attacks \x0E\x06\x03\x00 with\nmagic. Lumera blocks it, but after a hard\nbattle, it is too much for her to survive.
MID_Movie_S10	Meeting Veyle
MID_H_Movie_S10	One of the Corrupted sneak attacks\n\x0E\x06\x03\x00, but is defeated by a\nspell cast by a mysterious young girl.
MID_Movie_S11	Diamant
MID_H_Movie_S11	Brodia's crown prince, Diamant,\ngreets \x0E\x06\x03\x00 and company\nat the gates of Brodia Castle.
MID_Movie_S12	Ivy
MID_H_Movie_S12	Ivy, crown princess of Elusia, invades\nBrodia Castle at her father's command,\ndemanding the Emblem Rings.
MID_Movie_S13	Clash at the Border
MID_H_Movie_S13	The Brodian and Elusian armies clash. \nKing Hyacinth nearly falls to King Morion\nbut a Dark Emblem turns the tide.
MID_Movie_S14	Fell Dragon Sombron
MID_H_Movie_S14	Sombron regains power from a ritual. He\nis not fully restored, however, and takes\nthe blood he needs from King Hyacinth.
MID_Movie_S15	Timerra
MID_H_Movie_S15	Timerra, the crown princess of Solm,\ncamps as she wanders the queendom\nalongside her retainers.
MID_Movie_S16	Veyle's Wish
MID_H_Movie_S16	The Four Hounds set sail with Veyle,\nwho regains her will and throws the Ring\nof the Holy Knight to \x0E\x06\x03\x00.
MID_Movie_S17	Death of the Divine Dragon
MID_H_Movie_S17	Sombron forsakes Veyle, but just as he\ntries to dispose of her, \x0E\x06\x03\x00\ntakes the blow in her stead.
MID_Movie_S18	Gradlon Restored
MID_H_Movie_S18	Having claimed all of the rings, Sombron\nuses their power to transform himself\nand restore the sunken land of Gradlon.
MID_Movie_S19	Memories of a Millennium Ago
