MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou've been making some great progress out\nthere. Your skills have really improved.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nOnly because I've been trying to keep up with\nyou. I still have a lot to learn!\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nI've heard you had an older brother. What was\nhe like?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nWell, he could be a bit annoying at times, but I\nnever knew anyone better. Definitely not me.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08リュール\nI've been admiring your skills, Hector, and I\nhave a request. Would you train with me?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIt would be an honor. But what brought this on?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nYou're always so quick to defend your allies.\nI want to be able to defend you just as well.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nA wise plan. But if we are to have each other's\nbacks, you'll need to give this training your all.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nI never imagined I'd see the day when we would\nfight side by side. Life can be quite surprising.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIndeed, but that's fate for you! I'm looking\nforward to what our future has in store.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nYour battle tactics don't seem bound by\nconvention. Would you be willing to teach me?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI learned it all from fighting in an arena. If\nyou're OK getting a little dirty, let's do it.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nWhat are you doing there? Are you...knitting?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nYes, I knit whenever I have a spare moment.\nIt clears my mind and helps me focus.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nYou know, my brother always told me I wasn't\npatient enough. Would you teach me?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nCertainly. If knitting would be of use to you, it\nwould give me no greater pleasure.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHey, Clanne. What are you doing all the way\nover there? If you want to talk, come closer.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nN-no, it's all right! If I come any closer to your\nradiance, I might faint!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nI'd imagine that any sibling of yours would have\nto be just as impressive as you.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMy brother has dedicated himself to helping\nthe people. I can only hope to be like him.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nI feel so much better just having you around,\nLord Hector. Your presence is very comforting.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBoth my armor and axe are for protecting my\nfriends. And I'm including you in that, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nThank you so much! I'll do my best to protect\nyou as well.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nThat's very reassuring. I'll be counting on you\nto have my back!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nLord Hector, if you ever need anything, just ask.\nI'll be the first to your side. Faster than anyone!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI'm grateful for your care and all, but this\ndoesn't need to be a race.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nYou have a big brother too, huh? Between you\nand me, big brothers can be such worrywarts.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHe did pester me a lot, I suppose, but it was\nbecause he cared. I can't really live up to that.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nI feel safe whenever we fight together. There's\njust something about you...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPerhaps it's this armor and axe. But hey, if it\nmakes you feel better in a fight, I'm glad.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nIt does. Whenever you lend us your strength, it\nfeels like nothing bad could happen to me.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nWell, I didn't build this strength just to defeat\nenemies. I did it to protect my friends.\x0E\x04\x00\x00
