MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nYou seem like you may be harboring some kind\nof resentment for the Divine Dragon, Lady Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nIf that is how it appears, then I must reflect\nupon it and change. Thank you for telling me.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nYou have a mysterious air, Byleth. Others must\nmisinterpret your feelings on occasion.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06ベレト\nI suppose so. Whenever that happens, I find that\nopen and honest communication is the key.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nDespite my best efforts, I find myself speaking\nharshly to the Divine Dragon on occasion.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ベレト\nIt takes time to get comfortable expressing your\nfeelings. I know that from personal experience.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ベレト\nI found that the more I talked to my students,\nthe more easily expression came.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nPerhaps I simply need to socialize more, then.\nThank you, Byleth. I will make an attempt.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nWhat do you know of this world? It appears\nsimilar to mine, yet the culture is quite different.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ベレト\nAdmittedly, there is quite a bit I don't know.\nBut I'll share what I can.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nDid you know that the sweetest thing in this\nworld is a honey-coated candy from Solm?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ベレト\nInteresting! I'm afraid I can't eat it with you, but\nI'd love to see what it looks like.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nWhatever you're eating looks pretty tasty.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nAn ally gave these to me. I was told that they\nwere too sweet, but I find them perfect.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ベレト\nGood to hear! Seeing you enjoy those reminds\nme of an old friend.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nWe are having a conversation here. Reminisce\non your own time.\x0E\x04\x00\x00
