MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nI hear you have a history with Fell Dragons.\nDo not feel obligated to socialize with me.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06ルキナ\nI don't feel obligated, Nel. I'd like to get to know\nyou as a person, not just as a Fell Dragon.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNel! As a token of our friendship, I've designed\nsome clothing for you. Vander's handiwork!\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nA large spicy pepper embroidered on the front.\nI suppose it does represent my preferences.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nLucina, I am not skilled in handicrafts, but I\nmade you this as a thank-you for your gift.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルキナ\nYou embroidered our faces on a banner?! With\n"We Are Friends" over it?! This is incredible!\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ルキナ\nThank you so much! I will treasure this moment\nand your friendship for all time.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nI am glad to see that we have similar aesthetic\ntaste. And I intend to do the same.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nRafal, is it my imagination, or are you avoiding\nme? I thought we were a team after that battle.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nYour home was destroyed by a Fell Dragon.\nI, too, am a destroyer. You should avoid me.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nDid I not tell you to avoid me outside of battle?\nWhy would you wish to speak to a Fell Dragon?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ルキナ\nThe past is the past. I have no reason to\nhate you.\x0E\x04\x00\x00
