MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nThis temple seems promising. Let's keep our\neyes peeled for another Emblem Bracelet.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nAh! I found it! Look, it's the Bracelet of the\nShepherd Exalt!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nInteresting. There's an unusual presence inside\nthis one. Let's try the invocation...\x0E\x04\x02\x00
MID_OP1_#004	Awaken, Emblem of Bonds!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06クロム\nAwake at last. I feel like I slept for quite a while.\x0E\x04\x02\x00
MID_OP2_#002	Guess I can't tease you for those long naps\nof yours anymore.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nUm, hello?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06クロム\nAh, sorry, we're just getting our bearings.\nNice to meet you. I'm Chrom.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06ルフレ\nHe's the leader of the Shepherds. I'm Robin,\nhis tactician.\x0E\x04\x02\x00
MID_OP2_#006	If you're the one who awakened us, then you\nhave my thanks.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nYes. I'm the Divine Dragon \x0E\x06\x03\x00. So,\nyou're two Emblems in the same bracelet?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06クロム\nRight, but it's not that surprising. Robin and I\nare bound by ties stronger than fate.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nWhat do you mean?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ルフレ\nI swore an oath to Chrom when we lost his\nolder sister, the exalt Emmeryn.\x0E\x04\x02\x00
MID_OP2_#011	Neither of us was half the person she was, but\ntogether we became something more.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クロム\nFrom then on, we supported each other through\nthick and thin, no matter the danger.\x0E\x04\x02\x00
MID_OP2_#013	My sister fought for a peaceful world. Together,\nRobin and I made that a reality.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nThat's a wonderful story. We're also fighting\nto make our world a peaceful one.\x0E\x04\x02\x00
MID_OP2_#015	Would the two of you be willing to put your\nefforts toward another happy ending?\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06クロム\nOf course. We'd be honored.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nHonored? But I haven't even told you\nwhat's happening!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06クロム\nI knew I could trust you the moment I looked\ninto your eyes.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x08\x06ルフレ\nChrom follows his instincts. He trusted me right\naway too, even though I'd lost my memory.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nWell, I appreciate the confidence.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06クロム\nBefore we join you, though, I think we'll have to\nsee for ourselves what you're made of.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06ルフレ\nAgreed. It takes strength and fortitude to win a\nfight. We should make sure you have both.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06クロム\nDon't worry─it's not a formal test. Just show us\nwhat you've got, and trust it'll be enough.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nI understand. Let's get started!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nNo need to hesitate. Come at us with everything\nyou've got.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nLet's see how you handle our strategy.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nThat barrier is in our way. We'll have to figure\nout how to break through it.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDivine One, it looks like those crystals might be\ngenerating the barrier.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLet's try smashing one and see what happens.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nHmm. The barrier is still standing...\x0E\x04\x00\x00
MID_EV4_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIt looks like we'll need to destroy all the\ncrystals to get through.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWhat? The crystals reverted back...\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nThen we can't waste any time. We better attack\nthem all before everyone's actions are finished.\x0E\x04\x00\x00
