MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin ! Quand je me bats à vos côtés, une\npure exaltation s'empare de moi ! Vous avez\nune telle... classe !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nMoi, de la classe ? Ha ha, vous êtes\nbien aimable.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nMais puisque vous en parlez, sauriez-vous me\nfournir plus de détails sur cette fameuse classe\nqui me caractérise ? J'avoue être curieuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh, je ne saurais même pas par où commencer...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nVous avez l'air si vaillante, sur le champ\nde bataille. C'est exactement ce que l'on\nattend d'un preux chevalier au combat.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nUn preux chevalier ? Voilà qui me plaît.\nAutre chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. Souhaitez-vous que je poursuive ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nEh bien, je fais de mon mieux pour afficher\nune certaine classe, comme vous dites.\nMais je ne sais pas toujours si cela fonctionne.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nEh bien, voilà qui est quelque peu inattendu.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nJe ne me serais jamais doutée qu'une femme\ncomme vous prêterait une quelconque attention\nà ce que l'on pense d'elle.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nOh que si ! Pendant le combat, il est crucial\nd'afficher une certaine classe, un air détaché.\nRévéler ses faiblesses peut être fatal.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nCe que je veux dire, c'est que la classe doit\nêtre maintenue au combat comme à la ville.\nTout écart serait à mon détriment.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nD'aucuns peuvent prétendre le contraire,\nmais les apparences comptent vraiment.\nMe suivez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nOui, je comprends. Mais ce principe doit être\ntrès difficile à appliquer, que ce soit sur le\nchamp de bataille, ou hors de celui-ci.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nJe m'excuse, mais je dois vous quitter.\nIl faut que je retourne m'entraîner.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nMais merci pour la conversation, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nElle fut très agréable ! Entraînez-vous bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nOh, mais c'est une hirondelle brodienne\nrousse ! C'est une espèce rare et menacée\nd'extinction.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nAttends ! Où vas-tu ainsi, ma jolie ?\nCette créature est ravissante...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nEt ça, est-ce bien un albatros elusien ?!\nJe ne savais pas que leur chemin migratoire\npassait par ici !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nMais où est-ce que tu vas, au juste ?!\nS'il te plaît, emmène-moi avec toi !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nEuh... Merrin ? Que faites-vous ?\x0E\x04\x00\x00
