MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nJe fais le serment de te protéger, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nPrince Alcryst ? De quoi parlez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nL'autre jour, tu as assuré ma protection\nsur le champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nNaturellement ! Je suis votre vassale.\nC'est mon rôle de vous protéger.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nSans doute, mais je ne le mérite pas. Je suis\nun nul, alors que ton caractère et tes aptitudes\nont une vraie valeur.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nC'est pourquoi, dorénavant, je jure d'assurer\nTA protection, Lapis !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nMa...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nEnfin... ces mots ne valent pas grand-chose,\nvenant d'une personne aussi inapte que moi...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nÇa fait trois fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nC'est la troisième fois que vous jurez de me\nprotéger, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nAh. Oui. Maintenant que tu en parles,\nje me souviens l'avoir fait... juste après\nnotre rencontre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nEt à nouveau au Grand passage, si ma mémoire\nest bonne.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nC'est ça. Et vous entendre prononcer ces\nmots m'a rendue...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nJe vous prie de cesser d'inverser nos rôles ainsi.\nJe suis une vassale. Vous êtes un prince.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nJ-Je suis désolé. J'essaie juste de vous exposer\nhonnêtement ma façon de voir les choses...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nOui, je sais.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nMais je pense que peu de vassaux seraient\nheureux de voir leur maître blessé à leur place.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nJe... m'excuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nOh, ne le prenez pas mal, s'il vous plaît\nJe comprends votre intention. Et je l'apprécie...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nOui... bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nLapis ? Je voudrais m'excuser pour avoir fait\nce serment, l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, mais Prince Alcryst... Ne vous en faites pas\npour ça, s'il vous plaît.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nC'est à moi de m'excuser pour vous avoir dit\nce que vous aviez le droit de faire ou non.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nTu n'as rien fait de mal.\x0E\x04\x00\x00
