MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMauvier ? Vous êtes encore de garde ? Il est\npourtant fort tard ! Je vais prendre la relève,\nhistoire que vous puissiez aller vous reposer.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nCe n'est pas la peine. Je suis parfaitement à\nmême de monter la garde en cette heure\ntardive.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ? Eh bien, je salue votre ténacité...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nPourquoi cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nVous êtes là, au garde à vous, depuis nul ne sait\ncombien de temps, et restez fidèle au poste...\nN'avez-vous jamais besoin de faire une pause ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nMonter la garde m'est plus important\nque de prendre du repos.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nOh, quand même ! Vous ne pouvez pas dire ça !\nIl faut de temps à autre faire une vraie pause !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nC'est inutile. Se reposer n'est rien d'autre\nqu'une perte de temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nOK... Vous commencez à m'inquiéter. Comment\nfaites-vous donc pour dissiper votre fatigue ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nJe n'éprouve aucune fatigue.\x0E\x04\x00\x00
