MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe repas était-il à votre convenance,\nVotre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nTout à fait, c'était délicieux ! Merci beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous voulez bien me regarder dans les yeux,\ns'il vous plaît ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOh... Bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nParfait. Continuez comme ça, regardez-moi\nbien.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVotre regard irradie d'une intensité rare...\nDites-moi ce que vous ressentez, présentement.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nHmm... Rien de particulier, à vrai dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est donc tout l'effet que je fais ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vais vous reposer la question, mais à l'oreille,\ncette fois-ci. Dans un doux murmure...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe déjeuner que nous venons de partager\nvous a-t-il satisfait\x0E\x0A\x00\x06
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOh, absolument !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'en étais sûre, et je m'en réjouis. Dites-m'en\nplus sur ce que vous ressentez...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien... Je me sens rassasié\x0E\x0A\x00\x06
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa... recette.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe n'est pas tout à fait ce que j'avais en tête...\nMais si c'est ce que vous voulez, je peux vous\nl'enseigner.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nGoldmary ! Que vous arrive-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, Votre Divinité... Les charmants échos de\nmon âme angoissée ont finalement trouvé le\nchemin de vos oreilles ? Je m'en réjouis...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nQue se passe-t-il ? Dites-moi tout, je ne\ndemande qu'à vous aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est juste que... je ne saurais devenir plus\ncharmante que je le suis déjà.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEuh, pardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout le monde dit de moi que je suis la jeune\nfemme la plus appréciée qui soit...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais si mes charmes sont sans effet sur vous,\nc'est donc que tout cela est faux. J'ai perdu\ntoute confiance en moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt me voici donc... Les joues scintillantes sous\nle flot continu des diamants de mes larmes...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nÉcoutez...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSi je vous ai blessée, j'en suis navré\x0E\x0A\x00\x06
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe vous excusez pas, je vous en prie. Dites-moi\nsimplement comment gagner votre affection.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nInutile de faire quoi que ce soit de spécial.\nVous êtes tout à fait charmante.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVraiment ? Vous me trouvez charmante ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nMais oui. Et je ne suis pas \x0E\x0A\x00"\x0Ele seul\x10la seule à le penser.\nTout le monde vous adore.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nVous n'avez aucune raison de vous rendre\nmalade comme vous le faites, vous comprenez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBouhouhou !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe n'est rien, rien du tout... Le soulagement...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci... En gage de mon appréciation, je vous\nautorise à admirer un peu plus longtemps\nla perfection de mes pleurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nOh, eh bien, merci...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nVotre Divinité, je vous prie d'excuser mon\ncomportement lors de notre dernier entretien.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa joie était telle que je vous ai retenu\x0E\x0A\x00\x06
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nCe n'est rien. Je suis heureu\x0E\x0A\x00\x0A\x02x\x04se de constater\nque vous vous portez mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAprès cet épisode, je me suis dit que vous\nme comprendriez mieux si vous connaissiez\nl'enfance que j'ai vécue.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh, qu'a-t-elle de particulier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout le monde m'inondait constamment de\ncompliments, quand j'étais plus jeune. À tel\npoint que j'en ai pris l'habitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLorsque je fus en âge d'étudier, j'ai quitté ma\nfamille pour rejoindre l'académie, comme le\nveut la tradition elusienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt là, pour la première fois, j'ai découvert la\ncompétition. Je n'étais plus la plus populaire,\net cela m'a détruite.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'ai compris qu'en réalité, il existait des gens\nbien mieux que moi. Toutes mes certitudes\nont vacillé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nCela a dû être très éprouvant.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDepuis lors, je suis devenue perfectionniste, si\nl'on peut dire. Je vise toujours un idéal, et ma\nfrustration est immense si je ne l'atteins pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJusqu'à ce que vous m'assuriez que vous me\ntrouviez charmante...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEt je le maintiens. Vous ne vous départez\njamais de votre charme, jusque sur le champ\nde bataille.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vous remercie. Dès que vous m'avez fait\ncette remarque, j'ai senti que ma confiance\nen moi me revenait.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nC'est bien la joie qui vous fait pleurer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe le voyez-vous pas à la pureté de ces larmes,\nqui font briller mes joues comme la rosée du\nmatin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPardonnez-moi, Votre Divinité... Mes sentiments\nsont trop impétueux pour que j'ose les brider.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nProfitez donc du spectacle dans toute sa\nmagnificence... Repaissez vos yeux autant\nqu'il vous plaira...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nJe resterai à vos côtés jusqu'à ce que vous\narrêtiez de pleurer.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci d'être venu\x0E\x0A\x00\x06
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nIncroyable. Et vous avez fait cela pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAbsolument. Je dois avouer que la présentation\nn'est pas à la hauteur de mes standards\nhabituels.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors vous vous demandez peut-être pourquoi\nje déploie tant d'effort pour préparer quelque\nchose d'aussi peu remarquable.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est que ce repas a une valeur particulière\nà mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors on peut dire qu'en le préparant pour\nvous, je vous dévoile celle que je suis vraiment.\x0E\x04\x00\x00
