MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrince Diamant, je dois absolument voir\nvos techniques. Affrontons-nous en duel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nUn duel ? Voilà qui pourrait être amusant.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nJe crois d'ailleurs que nous ne nous sommes\njamais affrontés, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nAh, je n'ai même pas eu à vous convaincre.\nC'est parfait !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nL'entraînement te tient à cœur, n'est-ce pas ?\nJe maintiens moi aussi une routine assez stricte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nJe viens justement de gravir les trois\nmontagnes locales au pas de course. Un duel\nme permettra de décompresser.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nVous avez couru dans les montagnes ?\nEt trois, en plus ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nAllez, Kagetsu, montre-moi ce dont tu\nes capable !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nJe ne peux pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nPardon ? Et pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nBien que je rêve de vous affronter,\nje ne peux pas le faire tant que vous\nêtes dans cet état.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nJe ne gagnerais qu'à la faveur de votre\népuisement et n'en tirerais aucune satisfaction.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nTu n'accepterais donc de m'affronter\nqu'au lever du lit ? Allons, toutes les victoires\nse valent, en garde !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nNon. Je ne le permettrai pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nJ'ai été élevé dans le respect de l'honneur,\nau-delà de toute victoire. Cela fait partie des\nusages de ma contrée d'origine.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nPeu importe qu'on perde ou qu'on gagne,\nl'essentiel est de le faire en toute justice\net dignité.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nTelles des fleurs de cerisier, nous ne pouvons\nnous épanouir que quand notre temps est venu.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, je vois. C'est là une pensée admirable.\nDans ce cas, notre duel... est repoussé.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nMerci. J'apprécie d'autant plus votre\ncompréhension que c'est moi qui vous\nai proposé le duel.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nLa prochaine fois, je m'assurerai d'être reposé\net en pleine possession de mes forces.\nEt je ne retiendrai pas mes coups.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nParfait ! J'attends avec impatience\nce noble affrontement.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrince Diamant, nous étions faits pour\nnous affronter.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nVotre force dépasse mes attentes !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nTu te débrouilles fort bien aussi, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nContinue de mettre toute ta puissance dans\nce duel. Je compte bien en faire autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors ? Veux-tu continuer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nJe me suis battu de toutes mes forces.\nJe serais satisfait que nous nous arrêtions là\nplutôt que de continuer jusqu'à l'épuisement.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nMoi de même. Tu es un adversaire\nredoutable !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nJe me rends compte que ce duel vous a\npris beaucoup de votre temps, alors que vous\nn'en avez guère. Je vous en remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nJe me suis bien amusé. Nous affronterons-nous\nà nouveau bientôt ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nC'est ce que vous voulez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nEh bien, on ne peut pas vraiment se contenter\nd'une égalité, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nJe te préviens... L'issue de notre prochain\nduel n'aura rien à voir avec celle-ci.\x0E\x04\x00\x00
