MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nVotre Divinité, attention ! Un loup !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Où ça ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nMonsieur le loup, allez-vous-en s'il vous plaît !\nLaissez le Dragon divin en paix, je vous en\nsupplie !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nArgh... Il ne m'écoute pas... Pas le choix,\nje dois passer aux choses sérieuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nCette posture ! Va-t-il... se prosterner et\ndemander pardon, comme lors de l'incident\nà la frontière ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nMonsieur le loup ! Je suis tellement, tellement\ndésolé !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nJe sais que les excuses d'une personne comme\nmoi ne peuvent que vous enrager, au point que\nvous pourriez en venir à me dévorer.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nEt je sais qu'en finissant dans votre estomac,\nmes alliés risqueraient de gâcher des jours\nà me retrouver... Mais je n'ai pas le choix !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nAlors, s'il vous plaît, bien que je n'aie aucun\ndroit de vous le demander, veuillez rentrer\nchez vous ! Je vous en supplie !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nLe loup s'en va vraiment... Incroyable.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nIl est parti...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nLe ciel soit loué, vous êtes indemne,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nMerci, Alcryst. Je suis aussi soulagé\x0E\x0A\x00\x06
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nN'y pensez pas. Votre vie vaut bien plus que\nla mienne, alors j'ai simplement fait ce qui\ndevait être fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nJe ne crois pas. Ma vie, la vôtre, celle de tout\nun chacun... Aucune n'a plus de valeur que\ncelle d'un autre.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nAh. Vous avez raison, Votre Divinité.\nEncore une fois, je n'ai pas été à la hauteur.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nLa radieuse présence du Dragon divin devrait\nme remonter le moral, mais par ma faute, je\nme sens plus bas que tout...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nJe vous demande sincèrement pardon.\nJe dois m'en aller.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Alcryst ! Attendez !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nOuah. Il est vraiment rapide...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nAlcryst ? Vous avez un instant ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nOui, Votre Divinité. De quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nQue faites-vous dans cette posture ?\nTout va bien ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nJe me prépare à me prosterner.\x0E\x04\x00\x00
