MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBonjour, Prince Diamant. Je vois que je ne suis\npas le seul lève-tôt par ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nVous n'y êtes pas, Prince Alfred.\n« Couche-si-tard-qu'il-en-devient-lève-tôt »\nserait une désignation plus exacte.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous voulez dire que vous n'êtes pas\nallé vous coucher ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTout à fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nJe me suis assis pour m'acquitter d'une tâche\nurgente avant d'aller dormir. Le temps de\ncligner des yeux et le soleil se levait.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt de quelle tâche s'agissait-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ébauchais des missives pour les nobles de\nBrodia, des lettres de doléance où je demandais\nun soutien financier pour notre armée.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nHélas, chaque prêt qu'ils consentent leur\nservira de levier politique à l'avenir. Je ne\nsuis pas tranquille... mais je n'ai guère le choix.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Enfin, je vois. Je... Je peux comprendre\nvotre... votre dilemme.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nTous les princes héritiers ont les mêmes ennuis,\nsemble-t-il, quel que soit le royaume qu'ils\nadministrent.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHmpf... Rien n'est plus vrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nBon, ce n'est pas tout ça, mais j'ai\nune patrouille matinale à terminer, moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nVerriez-vous un inconvénient à ce que je vous\naccompagne ? Il serait insensé de ma part de\nchercher le sommeil maintenant.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nMarcher en devisant avec le prince\nd'un royaume voisin me semble une\nperspective bien plus agréable.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvec plaisir. Mais c'est dommage qu'il faille\nattendre des temps aussi sombres pour avoir\ncette occasion, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEnfin, une longue promenade nous permettra\npeut-être de mieux nous connaître.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nLaissez-moi commencer par vous poser\nune question.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est quoi, votre muscle préféré ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nQuoi ? C'est là votre façon de briser la glace ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, oups.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe me concentrais à fond pour me comporter\nconvenablement, mais j'ai bien peur d'avoir\ntout gâché en posant cette question.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNon, n'ayez crainte. Je crois que je devrais en\nprendre de la graine, en fait. Cela ne me ferait\npas de mal d'être un peu plus détendu.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nSans blague ? Ça, ce serait chouette,\nPrince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nCoucou, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPrince Alfred ! Êtes-vous en chemin pour\nune nouvelle séance d'entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nOuais ! Je me demandais si ça vous ferait\nplaisir de m'accompagner ? À moins que\nje tombe mal ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nVous tombez à merveille. Je m'apprêtais\njustement à faire de l'exercice.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nParfait. Alors, on est partis !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x04\x03\x04
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHaaa !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nOh ! Haaa !\x0E\x04\x00\x00
